EST_ID,EST_NAME,ADDRESS,TEL,STATUS,REASON,EST_TYPE,EFF_DATE_FROM,EFF_DATE_TO
28,Burnley Road Academy,"Burnley Road, Mytholmroyd, Hebden Bridge, HX7 5DE",01422 883034,Closed,Flood,SCH,18-Nov-09,
85,"Calder High School, A Specialist Technology College","Brier Hey Lane, Mytholmroyd, Hebden Bridge, HX7 5QN",01422 883213,Closed,Flood,SCH,18-Nov-09,
19,"Ling Bob J, I & N School","Albert Road, Pellon, Halifax, HX2 0QD",01422 434000,Closed,Flood,SCH,18-Nov-09,
87,"Todmorden High School, Specialist Visual Arts College","Ewood Lane, Todmorden, OL14 7DG",01706 813558,Closed,Flood,SCH,18-Nov-09,
50,Woodhouse Primary School,"Daisy Road, Brighouse, HD6 3SX",01484 714750,Closed,Heating/plumbing problems,SCH,14-Dec-09,
72,Hebden Royd CE (VA) Primary School,"Church Lane, Hebden Bridge, HX7 6DS",01422 842821,Closed,Snow,SCH,04-Jan-10,04-Jan-10
37,Bolton Brow Primary Academy,"Bolton Brow, Sowerby Bridge, HX6 2BA",01422 831031,Closed,Snow,SCH,05-Jan-10,
104,Brighouse High School,"Finkil Street, Brighouse, HD6 2NY",01484 710408,Closed,Snow,SCH,05-Jan-10,
85,"Calder High School, A Specialist Technology College","Brier Hey Lane, Mytholmroyd, Hebden Bridge, HX7 5QN",01422 883213,Closed,Snow,SCH,05-Jan-10,05-Jan-10
30,Calder Primary School,"Brier Hey Lane, Mytholmroyd, Hebden Bridge, HX7 5QN",01422 883213,Closed,Snow,SCH,05-Jan-10,05-Jan-10
34,Colden J & I School,"Smithy Lane, Colden, Hebden Bridge, HX7 7HW",01422 842438,Closed,Snow,SCH,05-Jan-10,05-Jan-10
43,"Cornholme J, I & N School","Greenfield Terrace, Cornholme, Todmorden, OL14 8PL",01706 812787,Closed,Snow,SCH,05-Jan-10,06-Jan-10
33,"Heptonstall J, I & N School","Smithwell Lane, Heptonstall, Hebden Bridge, HX7 7NX",01422 842533,Closed,Snow,SCH,05-Jan-10,05-Jan-10
109,Highbury School,"Lower Edge Road, Rastrick, Brighouse, HD6 3LD",01484 716319,Closed,Snow,SCH,05-Jan-10,
102,Lightcliffe Academy,"Stoney Lane, Lightcliffe, Halifax, HX3 8TL",01422 201028,Closed,Snow,SCH,05-Jan-10,05-Jan-10
94,Lightcliffe CE Primary School,"Wakefield Road, Lightcliffe, Halifax, HX3 8SH",01422 202235,Closed,Snow,SCH,05-Jan-10,
38,Luddendenfoot Academy,"Burnley Road, Luddendenfoot, Halifax, HX2 6AU",01422 882298,Closed,Snow,SCH,05-Jan-10,05-Jan-10
