"","Date","noTs","noRTs"
"1",2017-06-02 12:57:55,11,7
"2",2017-06-02 13:58:18,7,4
"3",2017-06-02 14:58:20,14,2
"4",2017-06-02 15:58:21,23,8
"5",2017-06-02 16:58:22,15,5
"6",2017-06-02 17:58:23,32,19
"7",2017-06-02 18:58:44,20,11
"8",2017-06-02 19:31:41,15,9
"9",2017-06-02 20:32:04,28,20
"10",2017-06-02 21:32:05,20,8
"11",2017-06-02 22:32:06,14,7
"12",2017-06-02 23:32:07,25,15
"13",2017-06-03 00:32:08,24,9
"14",2017-06-03 01:32:10,14,6
"15",2017-06-03 02:32:11,12,5
"16",2017-06-03 03:32:12,23,21
"17",2017-06-03 04:32:13,20,13
"18",2017-06-03 05:32:15,32,23
"19",2017-06-03 06:32:16,37,30
"20",2017-06-03 07:32:17,17,13
"21",2017-06-03 08:32:19,19,13
"22",2017-06-03 09:32:20,19,8
"23",2017-06-03 10:32:21,41,30
"24",2017-06-03 11:32:23,88,79
"25",2017-06-03 12:32:24,47,39
"26",2017-06-03 13:32:25,27,19
"27",2017-06-03 14:32:26,20,13
"28",2017-06-03 15:32:28,31,20
"29",2017-06-03 16:32:29,46,26
"30",2017-06-03 17:32:31,33,23
"31",2017-06-03 18:32:51,27,15
"32",2017-06-03 19:32:52,29,16
"33",2017-06-03 20:32:53,42,31
"34",2017-06-03 21:32:55,27,10
"35",2017-06-03 22:32:56,11,8
"36",2017-06-03 23:32:57,42,21
"37",2017-06-04 00:32:58,53,12
"38",2017-06-04 01:33:19,94,30
"39",2017-06-04 02:33:20,75,24
"40",2017-06-04 03:33:22,53,17
"41",2017-06-04 04:33:23,43,10
"42",2017-06-04 05:33:24,48,20
"43",2017-06-04 06:33:25,26,8
"44",2017-06-04 07:33:27,25,11
"45",2017-06-04 08:33:28,44,17
"46",2017-06-04 09:33:29,44,23
"47",2017-06-04 10:33:30,50,19
"48",2017-06-04 11:33:32,45,9
"49",2017-06-04 12:33:34,35,8
"50",2017-06-04 13:33:35,64,25
"51",2017-06-04 14:33:37,45,15
"52",2017-06-04 15:33:38,39,13
"53",2017-06-04 16:33:40,42,7
"54",2017-06-04 17:33:41,49,18
"55",2017-06-04 18:33:42,39,7
"56",2017-06-04 19:33:43,55,19
"57",2017-06-04 20:33:45,42,16
"58",2017-06-04 21:33:46,78,44
"59",2017-06-04 22:33:47,44,15
"60",2017-06-04 23:33:49,67,42
"61",2017-06-05 00:33:51,30,15
"62",2017-06-05 01:33:52,25,7
"63",2017-06-05 02:33:53,28,11
"64",2017-06-05 03:33:55,21,9
"65",2017-06-05 04:34:15,21,4
"66",2017-06-05 05:34:17,25,8
"67",2017-06-05 06:34:18,39,32
"68",2017-06-05 07:34:19,71,58
"69",2017-06-05 08:34:20,62,50
"70",2017-06-05 09:34:22,70,57
"71",2017-06-05 10:34:23,38,22
"72",2017-06-05 11:34:24,23,14
"73",2017-06-05 12:34:26,33,18
"74",2017-06-05 13:34:49,27,14
"75",2017-06-05 14:34:50,82,63
"76",2017-06-05 15:34:51,77,53
"77",2017-06-05 16:34:53,53,31
"78",2017-06-05 17:34:55,39,23
"79",2017-06-05 18:34:56,47,26
"80",2017-06-05 19:34:57,131,102
"81",2017-06-05 20:34:59,77,53
"82",2017-06-05 21:35:00,58,38
"83",2017-06-05 22:35:01,46,26
"84",2017-06-05 23:35:24,30,12
"85",2017-06-06 00:35:25,52,32
"86",2017-06-06 01:35:26,31,20
"87",2017-06-06 02:35:28,25,11
"88",2017-06-06 03:35:30,36,16
"89",2017-06-06 04:35:50,14,8
"90",2017-06-06 05:35:52,24,14
"91",2017-06-06 06:35:52,19,8
"92",2017-06-06 07:35:54,20,10
"93",2017-06-06 08:35:55,36,27
"94",2017-06-06 09:35:56,50,37
"95",2017-06-06 10:35:57,90,71
"96",2017-06-06 11:35:59,59,39
"97",2017-06-06 12:36:00,75,58
"98",2017-06-06 13:36:01,40,35
"99",2017-06-06 14:36:03,29,17
"100",2017-06-06 15:36:04,43,27
"101",2017-06-06 16:36:05,74,43
"102",2017-06-06 17:36:06,81,53
"103",2017-06-06 18:36:07,33,11
"104",2017-06-06 19:36:09,47,18
"105",2017-06-06 20:36:11,50,36
"106",2017-06-06 21:36:12,39,17
"107",2017-06-06 22:36:13,39,17
"108",2017-06-06 23:36:15,40,21
"109",2017-06-07 00:36:16,21,10
"110",2017-06-07 01:36:17,38,21
"111",2017-06-07 02:36:18,21,14
"112",2017-06-07 03:36:20,28,16
"113",2017-06-07 04:36:21,25,15
"114",2017-06-07 05:36:22,22,16
"115",2017-06-07 06:36:23,17,6
"116",2017-06-07 07:36:25,18,8
"117",2017-06-07 08:36:26,23,11
"118",2017-06-07 09:36:46,27,9
"119",2017-06-07 10:36:48,13,4
"120",2017-06-07 11:37:09,33,14
"121",2017-06-07 12:37:10,32,14
"122",2017-06-07 13:37:11,33,9
"123",2017-06-07 14:37:16,23,9
"124",2017-06-07 15:37:18,46,16
"125",2017-06-07 16:37:19,18,9
"126",2017-06-07 17:37:21,41,18
"127",2017-06-07 18:37:22,27,14
"128",2017-06-07 19:37:23,42,20
"129",2017-06-07 20:37:24,31,11
"130",2017-06-07 21:37:45,33,18
"131",2017-06-07 22:37:47,120,89
"132",2017-06-07 23:37:48,87,71
"133",2017-06-08 00:37:49,39,20
"134",2017-06-08 01:37:50,27,10
"135",2017-06-08 02:37:52,26,15
"136",2017-06-08 03:37:53,25,12
"137",2017-06-08 04:37:54,25,13
"138",2017-06-08 05:37:56,18,8
"139",2017-06-08 06:37:56,20,12
"140",2017-06-08 07:37:58,30,18
"141",2017-06-08 08:37:59,59,35
"142",2017-06-08 09:38:00,57,42
"143",2017-06-08 10:38:01,119,98
"144",2017-06-08 11:38:03,65,52
"145",2017-06-08 12:38:04,31,15
"146",2017-06-08 13:38:05,27,17
"147",2017-06-08 14:38:07,30,16
"148",2017-06-08 15:38:08,54,34
"149",2017-06-08 16:38:09,22,9
"150",2017-06-08 17:38:10,33,20
"151",2017-06-08 18:38:12,26,12
"152",2017-06-08 19:38:13,20,10
"153",2017-06-08 20:38:14,30,16
"154",2017-06-13 17:54:05,30,15
"155",2017-06-13 18:54:06,23,8
"156",2017-06-13 19:54:07,18,11
"157",2017-06-13 20:54:09,26,8
"158",2017-06-13 21:54:10,28,7
"159",2017-06-13 22:54:33,20,8
"160",2017-06-13 23:54:35,16,8
"161",2017-06-14 00:54:36,17,4
"162",2017-06-14 01:54:37,9,4
"163",2017-06-14 02:54:39,11,7
"164",2017-06-14 03:54:40,13,7
"165",2017-06-14 04:54:41,16,4
"166",2017-06-14 05:54:43,24,14
"167",2017-06-14 06:54:44,13,8
"168",2017-06-14 07:54:45,10,6
"169",2017-06-14 08:55:06,11,3
"170",2017-06-14 09:55:07,12,5
"171",2017-06-14 10:55:08,9,4
"172",2017-06-14 11:55:10,9,2
"173",2017-06-14 12:55:11,15,4
"174",2017-06-14 13:55:12,17,6
"175",2017-06-14 14:55:14,18,8
"176",2017-06-14 15:55:34,22,12
"177",2017-06-14 16:55:36,20,5
"178",2017-06-14 17:55:37,39,25
"179",2017-06-14 18:55:38,13,6
"180",2017-06-14 19:55:39,19,6
"181",2017-06-14 20:55:41,10,4
"182",2017-06-14 21:55:42,9,2
"183",2017-06-14 22:55:43,15,12
"184",2017-06-14 23:55:44,32,20
"185",2017-06-15 00:55:46,30,22
"186",2017-06-15 01:55:47,27,19
"187",2017-06-15 02:55:48,9,6
"188",2017-06-15 03:55:50,16,7
"189",2017-06-15 04:55:51,12,6
"190",2017-06-15 05:56:12,19,10
"191",2017-06-15 06:56:13,13,7
"192",2017-06-15 07:56:36,12,7
"193",2017-06-15 08:56:37,9,3
"194",2017-06-15 09:56:38,12,4
"195",2017-06-15 10:56:40,15,5
"196",2017-06-15 11:56:41,12,9
"197",2017-06-15 12:57:01,35,21
"198",2017-06-15 13:57:23,10,5
"199",2017-06-15 14:57:25,27,9
"200",2017-06-15 15:57:27,13,3
"201",2017-06-15 16:57:28,10,3
"202",2017-06-15 17:57:49,8,3
"203",2017-06-15 18:57:50,25,16
"204",2017-06-15 19:57:52,12,7
"205",2017-06-15 20:57:53,28,14
"206",2017-06-15 21:57:54,19,11
"207",2017-06-15 22:57:56,28,14
"208",2017-06-15 23:57:57,18,8
"209",2017-06-16 00:57:59,13,6
"210",2017-06-16 01:58:19,14,9
"211",2017-06-16 02:58:20,17,4
"212",2017-06-16 03:58:22,16,11
"213",2017-06-16 04:58:23,8,1
"214",2017-06-16 05:58:24,6,2
"215",2017-06-16 06:58:26,8,2
"216",2017-06-16 07:58:46,8,3
"217",2017-06-16 08:58:48,15,6
"218",2017-06-16 15:46:19,11,5
"219",2017-06-16 16:46:20,23,9
"220",2017-06-16 17:46:22,18,10
"221",2017-06-16 18:46:23,25,20
"222",2017-06-16 19:46:24,23,11
"223",2017-06-16 20:46:26,12,5
"224",2017-06-16 21:46:27,9,4
"225",2017-06-16 22:46:28,20,11
"226",2017-06-16 23:46:30,20,12
"227",2017-06-17 00:46:31,53,46
"228",2017-06-17 01:46:33,13,4
"229",2017-06-17 02:46:34,10,7
"230",2017-06-17 03:46:35,5,2
"231",2017-06-17 04:46:36,16,10
"232",2017-06-17 05:46:37,7,3
"233",2017-06-17 06:46:39,8,4
"234",2017-06-17 07:46:40,10,7
"235",2017-06-17 08:46:41,8,3
"236",2017-06-17 09:46:42,13,7
"237",2017-06-17 10:46:43,16,5
"238",2017-06-17 11:46:44,23,13
"239",2017-06-17 12:46:46,34,26
"240",2017-06-17 13:47:06,18,10
"241",2017-06-17 14:47:07,15,6
"242",2017-06-17 15:47:09,24,14
"243",2017-06-17 16:47:32,26,19
"244",2017-06-17 17:47:33,24,11
"245",2017-06-17 18:47:35,10,6
"246",2017-06-17 19:47:36,19,9
"247",2017-06-17 20:47:37,9,3
"248",2017-06-17 21:47:38,30,17
"249",2017-06-17 22:47:39,20,8
"250",2017-06-17 23:47:41,12,4
"251",2017-06-18 00:47:42,14,6
"252",2017-06-18 01:47:43,7,3
"253",2017-06-18 02:47:44,17,9
"254",2017-06-18 03:47:46,17,11
"255",2017-06-18 04:47:47,11,3
