ExtractDate,OrganisationURI,OrganisationLabel,ServiceTypeURI,ServiceTypeLabel,Street,Ward,ONS Ref,Lat ,Long,Type ,Colour
22/04/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/559,Street Furniture,Albion Place,City and Hunslet,http://statistics.data.gov.uk/id/statistical-geography/E05001420,53.797773,-1.544035,Cycle Racks,silver
22/04/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/559,Street Furniture,Albion Place,City and Hunslet,http://statistics.data.gov.uk/id/statistical-geography/E05001420,53.79776,-1.543832,Cycle Racks,silver
22/04/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/559,Street Furniture,Albion Street,City and Hunslet,http://statistics.data.gov.uk/id/statistical-geography/E05001420,53.800307,-1.545483,Cycle Racks,silver
22/04/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/559,Street Furniture,Albion Street,City and Hunslet,http://statistics.data.gov.uk/id/statistical-geography/E05001420,53.800659,-1.544683,Cycle Racks,silver
22/04/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/559,Street Furniture,Albion Street,City and Hunslet,http://statistics.data.gov.uk/id/statistical-geography/E05001420,53.797941,-1.545211,Cycle Racks,silver
22/04/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/559,Street Furniture,Albion Street,City and Hunslet,http://statistics.data.gov.uk/id/statistical-geography/E05001420,53.7982,-1.545176,Cycle Racks,silver
22/04/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/559,Street Furniture,Belgrave Street,City and Hunslet,http://statistics.data.gov.uk/id/statistical-geography/E05001420,53.801153,-1.540755,Cycle Racks,silver
22/04/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/559,Street Furniture,Bond Street,City and Hunslet,http://statistics.data.gov.uk/id/statistical-geography/E05001420,53.79737,-1.545337,Cycle Racks,silver
22/04/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/559,Street Furniture,Bond Street,City and Hunslet,http://statistics.data.gov.uk/id/statistical-geography/E05001420,53.797477,-1.545773,Cycle Racks,silver
22/04/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/559,Street Furniture,Briggate,City and Hunslet,http://statistics.data.gov.uk/id/statistical-geography/E05001420,53.799282,-1.543792,Cycle Racks,silver
22/04/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/559,Street Furniture,Briggate,City and Hunslet,http://statistics.data.gov.uk/id/statistical-geography/E05001420,53.799282,-1.543792,Cycle Racks,silver
22/04/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/559,Street Furniture,Briggate,City and Hunslet,http://statistics.data.gov.uk/id/statistical-geography/E05001420,53.795276,-1.546745,Cycle Racks,silver
22/04/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/559,Street Furniture,Briggate,City and Hunslet,http://statistics.data.gov.uk/id/statistical-geography/E05001420,53.796992,-1.542482,Cycle Racks,silver
22/04/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/559,Street Furniture,Briggate,City and Hunslet,http://statistics.data.gov.uk/id/statistical-geography/E05001420,53.796298,-1.542624,Cycle Racks,silver
22/04/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/559,Street Furniture,Briggate,City and Hunslet,http://statistics.data.gov.uk/id/statistical-geography/E05001420,53.796873,-1.542272,Cycle Racks,silver
22/04/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/559,Street Furniture,Briggate,City and Hunslet,http://statistics.data.gov.uk/id/statistical-geography/E05001420,53.797917,-1.542337,Cycle Racks,silver
22/04/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/559,Street Furniture,Briggate,City and Hunslet,http://statistics.data.gov.uk/id/statistical-geography/E05001420,53.797917,-1.542337,Cycle Racks,silver
