Reference.Number,Number.of.Vehicles,Number.of.Casualties,Accident.Date,Time..24hr.,X1st.Road.Class,Road.Surface,Lighting.Conditions,Weather.Conditions,Casualty.Class,Casualty.Severity,Sex.of.Casualty,Age.of.Casualty,Type.of.Vehicle,Longitude,Latitude
11309,2,1,07/01/2009,1240,3,2,1,1,1,3,1,17,1,-1.544508546,53.78114091
19509,2,1,07/01/2009,750,3,2,1,1,1,3,1,41,1,-1.613370393,53.82308693
13009,2,1,09/01/2009,819,3,1,1,1,1,3,1,31,1,-1.523055017,53.8114821
24709,2,1,13/01/2009,1550,3,1,1,1,1,2,1,20,1,-1.561702113,53.81471234
25109,2,1,13/01/2009,2130,6,2,7,1,1,3,1,38,1,-1.56910032,53.81306736
29909,2,1,14/01/2009,845,3,2,4,2,1,3,1,26,1,-1.575250424,53.81915619
37009,2,1,14/01/2009,1753,3,2,4,2,1,2,1,37,1,-1.723178926,53.86791646
345809,2,1,14/01/2009,1300,3,1,1,1,1,3,1,43,1,-1.628202757,53.81210553
37309,2,1,15/01/2009,1335,6,2,1,1,1,3,1,75,1,-1.57750372,53.85791127
46809,2,1,20/01/2009,800,3,1,1,1,1,3,1,39,1,-1.58335082,53.78346618
80209,1,1,22/01/2009,1540,6,1,1,1,3,3,2,86,1,-1.462118607,53.80845614
54309,2,1,23/01/2009,730,6,2,7,9,1,3,1,44,1,-1.636450335,53.84183602
67609,2,1,23/01/2009,1325,4,1,1,1,1,3,1,45,1,-1.601841516,53.74918555
73309,2,1,28/01/2009,1000,6,2,1,1,1,3,2,28,1,-1.54907869,53.80076111
88909,2,1,28/01/2009,1720,3,2,4,7,1,3,1,25,1,-1.56590954,53.81614774
75209,2,1,29/01/2009,1735,6,2,4,1,1,3,1,19,1,-1.563572604,53.80716923
77809,2,1,29/01/2009,740,6,2,1,8,1,2,1,59,1,-1.643371509,53.80709132
77309,2,1,30/01/2009,1545,3,1,1,1,1,3,1,40,1,-1.529885214,53.78330456
79209,2,1,31/01/2009,1920,3,1,4,1,1,3,1,49,1,-1.651768013,53.83470005
116109,2,1,10/02/2009,1515,6,2,1,1,1,3,1,42,1,-1.589590656,53.82835584
118409,2,1,11/02/2009,1550,6,1,1,1,1,3,1,17,1,-1.509412082,53.78849859
143209,2,1,17/02/2009,1215,6,1,1,1,1,2,2,33,1,-1.56665432,53.82787977
149209,2,1,20/02/2009,2113,6,1,4,1,1,3,1,14,1,-1.487699324,53.80531439
