AreaType,AreaCodeName,2006-2010Persons_dsr,2006-2010Persons_lower95CI,2006-2010Persons_upper95CI,2007-2011Persons_dsr,2007-2011Persons_lower95CI,2007-2011Persons_upper95CI,2008-2012Persons_dsr,2008-2012Persons_lower95CI,2008-2012Persons_upper95CI,2009-2013Persons_dsr,2009-2013Persons_lower95CI,2009-2013Persons_upper95CI,2010-2014Persons_dsr,2010-2014Persons_lower95CI,2010-2014Persons_upper95CI,2011-2015Persons_dsr,2011-2015Persons_lower95CI,2011-2015Persons_upper95CI,2006-2010Males_dsr,2006-2010Males_lower95CI,2006-2010Males_upper95CI,2007-2011Males_dsr,2007-2011Males_lower95CI,2007-2011Males_upper95CI,2008-2012Males_dsr,2008-2012Males_lower95CI,2008-2012Males_upper95CI,2009-2013Males_dsr,2009-2013Males_lower95CI,2009-2013Males_upper95CI,2010-2014Males_dsr,2010-2014Males_lower95CI,2010-2014Males_upper95CI,2011-2015Males_dsr,2011-2015Males_lower95CI,2011-2015Males_upper95CI,2006-2010Females_dsr,2006-2010Females_lower95CI,2006-2010Females_upper95CI,2007-2011Females_dsr,2007-2011Females_lower95CI,2007-2011Females_upper95CI,2008-2012Females_dsr,2008-2012Females_lower95CI,2008-2012Females_upper95CI,2009-2013Females_dsr,2009-2013Females_lower95CI,2009-2013Females_upper95CI,2010-2014Females_dsr,2010-2014Females_lower95CI,2010-2014Females_upper95CI,2011-2015Females_dsr,2011-2015Females_lower95CI,2011-2015Females_upper95CI
MSOA,E02002330,677.6,581.2695,784.4041,648.5,557.7513,749.0903,655.9,567.1508,754.0153,589.6,506.9596,681.3906,587.7,506.5372,677.7789,580.9,502.2082,668.1259,754.7,594.5315,940.4348,735.7,580.8414,915.1457,791.7,636.2197,970.5364,726.7,582.1729,893.5872,699.4,563.7536,856.0325,655.1,528.9812,800.7308,629.5,508.9236,768.8259,611.8,494.9694,746.7978,583.4,473.1557,710.7873,500.6,400.9151,616.9256,505.9,406.9983,621.0293,516.4,418.4914,629.9369
MSOA,E02002331,1057,950.8338,1171.6508,1088,981.02,1203.3209,1078.9,973.1418,1192.8601,1087.8,982.8546,1200.7377,1052.1,950.597,1161.3134,999.8,903.1144,1103.8208,1373.7,1158.0267,1615.4869,1412.5,1190.6852,1660.2864,1363.6,1154.1147,1597.686,1401.1,1192.457,1633.5478,1354.8,1156.5201,1575.6391,1286.8,1094.9388,1500.9293,924.7,797.5937,1065.7694,939.4,811.5365,1081.0601,956.7,827.2048,1099.9951,943.7,816.4567,1084.3719,896.1,774.9528,1030.0016,842.3,729.9751,966.2296
MSOA,E02002332,940.6,829.5048,1062.175,881.3,775.0149,997.8527,863.8,759.757,977.894,799.7,700.4432,908.8727,757.1,661.9889,861.8603,763,668.8151,866.5941,1301.8,1087.2975,1543.9796,1210.2,988.0341,1462.6946,1214.5,999.6914,1458.1777,1118.3,913.1193,1351.9463,1075.7,867.7864,1312.9426,1165.1,946.5081,1412.8455,694.8,575.0177,831.9248,693.2,574.8739,828.4334,655.3,541.6916,785.4306,602.6,494.5472,726.9624,567.9,465.1359,686.4046,530.3,431.6596,644.6016
MSOA,E02002333,941.6,851.1257,1038.8783,927.9,838.7122,1023.795,889.7,803.2523,982.7229,840.2,757.6142,929.1571,869.5,786.1459,959.1383,867.8,785.7778,955.9449,1252.3,1077.6696,1446.4741,1198.8,1028.675,1388.3351,1184.2,1017.9192,1369.2429,1057.1,903.0391,1229.4715,1060.1,907.6728,1230.4807,1010.2,865.376,1172.1331,789.7,683.4077,907.1294,784.1,679.8812,899.0612,715.7,617.5852,824.245,708,612.3801,813.615,762.1,662.4215,871.8462,781.7,682.1903,891.0657
MSOA,E02002334,723.4,640.2235,814.3036,733.7,651.1594,823.7411,714,633.4638,801.8811,725.4,645.3627,812.5703,689.9,613.1597,773.5395,688,612.3756,770.3408,929,776.8355,1101.2313,964.3,808.023,1140.6699,878.8,729.0423,1048.6071,830.8,688.1515,992.8451,741.7,614.8437,886.1556,685.3,566.9585,820.3351,583.1,487.5341,691.7119,589.4,494.7466,696.7256,605,510.8361,711.3573,656.8,559.5146,765.9775,636.1,541.7281,742.0079,675.9,578.9892,784.2596
MSOA,E02002335,735.3,648.2272,830.5548,681.3,598.3573,772.288,672.4,591.0036,761.6437,631.6,554.8477,715.8433,594.9,521.2292,675.9306,541.9,472.5082,618.4944,870.1,730.4402,1028.0422,826.4,690.9723,979.8897,853.1,717.2168,1006.454,781.7,654.0285,926.3347,720.6,597.8653,860.3622,647,532.491,778.088,638.7,528.5816,764.3521,574.5,471.8796,692.3196,526.5,429.9698,637.8159,513.4,421.5667,619.0947,501.1,411.8274,603.8476,463.3,378.3557,561.521
MSOA,E02002336,713.2,627.1653,807.6667,684.5,602.1982,774.8512,632.4,554.7086,717.8698,656.8,578.8127,742.3059,671.1,593.2156,756.303,639.5,564.0017,722.2187,808,657.8218,980.2173,780.7,636.4805,946.0842,722.4,588.7967,875.884,719.7,590.1573,868.2535,730.2,603.5197,874.9814,715.4,593.9708,853.9584,622.1,520.0368,738.1519,603.5,504.5778,715.9264,555.6,460.6642,663.9278,597.7,501.1266,707.1048,612.1,515.2534,721.4874,567.6,474.0574,673.8122
MSOA,E02002337,777,671.3265,894.2821,731.3,629.9244,844.021,762.5,660.1222,875.9245,711.3,614.319,818.9071,745.7,648.3249,853.3268,750.6,654.1689,857.0169,824.7,644.3118,1035.7431,839,653.1848,1056.203,1026.7,611.3157,1510.6287,898.2,641.4249,1196.87,914,696.7068,1165.0822,945.3,723.9175,1200.7612,703.8,579.6654,846.582,636.9,520.3425,771.6754,671.3,553.4176,806.7238,606,495.5101,733.584,627.4,516.7831,754.5549,640.8,529.9612,767.831
MSOA,E02002338,1260.5,1137.1156,1393.466,1267.8,1146.195,1398.6308,1175.4,1060.6658,1298.9856,1178.1,1066.8628,1297.6204,1170.5,1062.3657,1286.5059,1142.4,1037.565,1254.8135,1589.6,1340.8761,1868.0667,1579.1,1339.7418,1846.4015,1475.1,1243.5973,1733.789,1532,1313.3398,1774.7438,1486.8,1276.6965,1719.8648,1457.7,1260.583,1675.9272,1073.5,930.753,1231.2755,1086.1,944.9059,1241.8144,991.6,859.4946,1137.6471,957.4,831.0509,1096.9252,968,844.1321,1104.3237,936.9,816.0966,1069.9048
MSOA,E02002339,1024.6,911.6298,1147.518,1027.3,913.9203,1150.6132,1058.1,942.6609,1183.5198,1113,994.6089,1241.3692,1086.2,970.5418,1211.6518,1068.7,954.1691,1193.0217,1193.8,994.0645,1421.2456,1230,1030.2446,1456.6014,1319.5,1113.0414,1552.5034,1367.9,1158.7407,1603.2205,1369.6,1161.7026,1603.3281,1344.8,1141.8506,1572.8822,910.2,775.134,1061.1747,868.5,736.1754,1016.6482,861.4,728.5843,1010.2969,923.9,785.2863,1078.8891,862.8,732.5024,1008.7269,857.3,726.1592,1004.5231
