AreaType,AreaCodeName,01/07/2012_DASR,01/07/2012_lower95CI,01/07/2012_upper95CI,01/10/2012_DASR,01/10/2012_lower95CI,01/10/2012_upper95CI,01/01/2013_DASR,01/01/2013_lower95CI,01/01/2013_upper95CI,01/04/2013_DASR,01/04/2013_lower95CI,01/04/2013_upper95CI,01/07/2013_DASR,01/07/2013_lower95CI,01/07/2013_upper95CI,01/10/2013_DASR,01/10/2013_lower95CI,01/10/2013_upper95CI,01/01/2014_DASR,01/01/2014_lower95CI,01/01/2014_upper95CI,01/04/2014_DASR,01/04/2014_lower95CI,01/04/2014_upper95CI,01/07/2014_DASR,01/07/2014_lower95CI,01/07/2014_upper95CI,01/10/2014_DASR,01/10/2014_lower95CI,01/10/2014_upper95CI,01/01/2015_DASR,01/01/2015_lower95CI,01/01/2015_upper95CI,01/04/2015_DASR,01/04/2015_lower95CI,01/04/2015_upper95CI,01/07/2015_DASR,01/07/2015_lower95CI,01/07/2015_upper95CI,01/07/2015_DASR,01/07/2015_lower95CI,01/07/2015_upper95CI,01/01/2016_DASR,01/01/2016_lower95CI,01/01/2016_upper95CI,01/04/2016_DASR,01/04/2016_lower95CI,01/04/2016_upper95CI,01/07/2016_DASR,01/07/2016_lower95CI,01/07/2016_upper95CI,01/10/2016_DASR,01/10/2016_lower95CI,01/10/2016_upper95CI
MSOA,E02002330,4024.9557,3590.1512,4497.1095,4050.0257,3615.3442,4521.8071,4051.1113,3618.2226,4520.7134,4135.7208,3676.0947,4635.6837,3933.6139,3505.5172,4398.4837,3908.9525,3479.5538,4375.2958,3963.6682,3531.1663,4433.143,3880.2473,3460.0709,4336.4005,3888.3579,3469.8938,4342.4244,3816.5353,3405.5956,4262.6045,3740.2012,3335.5205,4179.7564,3582.5571,3189.2876,4010.282,3552.1279,3162.0234,3976.4104,3550.5088,3161.8426,3973.227,3551.4851,3165.3328,3971.3001,3462.7312,3081.7144,3877.3562,3410.6608,3030.6134,3824.5782,3329.1318,2956.3309,3735.3899
MSOA,E02002331,4345.0601,3880.789,4848.7683,4333.2432,3870.3901,4835.2893,4271.0458,3812.2004,4768.9292,4236.7964,3770.9791,4743.2212,4225.704,3772.6476,4717.0638,4123.084,3680.3471,4603.3105,4062.3756,3624.9887,4536.8573,4065.4243,3628.4116,4539.4419,4032.3126,3599.6423,4501.5056,4009.9332,3580.5089,4475.4936,3991.8721,3565.4364,4454.1368,3976.8034,3551.3246,4438.0863,3960.129,3536.5751,4419.2698,3948.2275,3525.2925,4406.7525,3974.1991,3552.6288,4430.8655,3877.9507,3461.5997,4329.4469,3850.78,3439.8305,4296.2574,3891.036,3478.7969,4337.4906
MSOA,E02002332,4306.4817,3809.4856,4849.7364,4305.3322,3808.4901,4848.3314,4269.7568,3773.2834,4812.7041,4243.2881,3750.1737,4782.6504,4213.1104,3721.8414,4750.4542,4120.4718,3635.6682,4651.1858,4129.3482,3648.3098,4655.5019,4090.0572,3613.5432,4611.3481,4090.796,3614.6939,4611.6362,4047.959,3576.3882,4564.0136,4041.5581,3569.0804,4558.6052,3948.161,3480.9527,4459.875,3924.324,3458.9084,4434.3397,3889.3953,3427.6834,4395.441,3872.882,3412.8169,4377.0344,3739.0468,3289.3428,4232.6418,3610.9151,3175.6104,4088.9719,3621.1683,3185.8786,4099.0304
MSOA,E02002333,3556.827,3166.3519,3981.5127,3502.9767,3117.9492,3921.8513,3536.251,3149.1648,3957.2508,3465.1783,3083.542,3880.4774,3444.7739,3064.8469,3858.2701,3437.7798,3060.3677,3848.3695,3388.9216,3015.7765,3794.9805,3356.5005,2985.3941,3760.5659,3377.5215,3004.4389,3783.6816,3349.7054,2981.3423,3750.5606,3237.55,2876.2926,3631.1717,3205.1053,2846.0343,3596.5726,3172.359,2817.4777,3559.2018,3230.3418,2872.9976,3619.4775,3242.1666,2885.8363,3630.035,3171.1798,2818.0081,3555.9914,3158.1768,2808.1981,3539.3458,3102.2935,2758.5441,3476.678
MSOA,E02002334,4090.979,3676.2419,4539.5315,4065.8684,3653.3605,4512.01,4061.7017,3649.7907,4507.1976,4035.7909,3619.1392,4487.0766,3974.2784,3566.6063,4415.5844,3957.0695,3554.6923,4392.3504,3853.7924,3456.6369,4283.8618,3769.0513,3377.3557,4193.5055,3720.9636,3333.3118,4141.0855,3677.1544,3293.9207,4092.5377,3716.2596,3330.9753,4133.717,3662.7777,3278.2486,4079.8166,3590.2194,3212.0344,4000.529,3570.5361,3193.3696,3979.8424,3585.8088,3207.0089,3996.8365,3566.0983,3188.0304,3976.3316,3535.5479,3158.9335,3944.255,3490.7788,3118.8714,3894.3778
MSOA,E02002335,3332.787,2959.8916,3739.3859,3282.018,2914.7399,3682.4919,3222.7508,2859.5044,3619.1253,3461.6309,2794.6741,4237.407,3084.887,2728.3055,3474.8474,2996.7705,2649.3868,3376.797,2907.7677,2566.7408,3281.2164,2893.2903,2554.1669,3264.6545,2889.4643,2551.398,3259.6079,2923.7343,2584.5208,3294.8229,2929.3384,2589.0764,3301.6357,2900.2301,2561.3507,3271.1386,2835.4735,2501.0556,3201.7477,2865.4114,2531.1348,3231.2208,2784.73,2458.2532,3142.1844,2823.4748,2492.8395,3185.4822,2846.672,2517.1904,3207.0548,2835.6602,2508.0491,3193.8799
MSOA,E02002336,3568.8938,3168.5419,4005.5606,3602.7558,3202.0279,4039.4472,3535.5669,3137.0528,3970.3597,3475.2001,3082.6527,3903.613,3410.8557,3020.9526,3836.8457,3357.9775,2972.522,3779.2422,3352.322,2968.5049,3771.7292,3357.6612,2975.2326,3775.3533,3266.7134,2889.2863,3679.5384,3245.6711,2869.4308,3657.334,3296.0323,2917.057,3710.348,3329.5476,2947.187,3747.4969,3292.7752,2914.2626,3706.5851,3271.7445,2893.3698,3685.5381,3273.8067,2896.0412,3686.8668,3245.4411,2867.3369,3659.2124,3134.4421,2761.9468,3542.7766,3079.4755,2711.4839,3483.0889
MSOA,E02002337,3711.4599,3240.6249,4230.9388,3715.1276,3242.207,4236.9076,3579.6716,3118.8826,4088.627,3455.2326,3006.0353,3951.9505,3386.8452,2945.6258,3874.8546,3444.8138,3002.0649,3933.8435,3496.2399,3047.758,3991.4912,3413.584,2971.3952,3902.4389,3353.95,2917.0677,3837.1624,3338.8635,2904.3819,3819.4206,3340.6312,2909.4397,3817.2189,3390.9395,2958.9208,3867.7998,3376.6441,2946.2986,3851.6576,3387.1942,2956.2202,3862.6939,3337.5486,2912.2017,3806.9419,3285.8799,2862.2688,3753.7713,3222.5328,2812.1165,3675.3509,3292.6309,2879.5864,3747.7681
MSOA,E02002338,3894.777,3445.3913,4385.2962,3954.9443,3503.8237,4446.8387,3958.7918,3508.2866,4449.8707,3867.9644,3422.8085,4353.8667,3819.5376,3371.5866,4309.5007,3820.6757,3378.4909,4303.6341,3719.548,3284.1666,4195.607,3664.4686,3235.0661,4134.1436,3752.0785,3317.816,4226.5334,3744.9491,3308.8946,4221.5899,3703.0153,3270.5218,4175.9937,3730.4546,3297.5319,4203.7484,3649.2378,3220.9763,4117.9763,3633.3467,3205.4318,4101.8642,3607.3635,3181.6759,4073.4423,3623.3806,3198.4256,4088.4221,3614.6444,3194.3969,4074.2304,3581.0794,3164.2768,4036.9728
MSOA,E02002339,5318.3343,4731.1969,5957.4381,5349.7377,4764.2303,5986.6293,5277.1602,4699.6711,5905.4153,5242.1742,4665.9578,5869.3033,5149.1786,4568.826,5782.0792,5134.1245,4562.6992,5756.7426,5036.3241,4469.0891,5654.9194,4904.3141,4346.5546,5513.1269,4796.497,4246.4027,5397.3152,4875.8751,4323.4772,5478.6518,4835.1079,4285.1831,5435.4612,4795.596,4249.8665,5391.3692,4681.9325,4141.085,5273.1201,4620.1658,4083.2327,5207.4564,4589.1997,4053.8493,5175.0504,4599.9747,4059.3546,5192.0936,4657.7034,4107.5503,5260.5768,4648.4818,4102.4566,5246.5207
