AreaType,AreaCodeName,01/07/2012_DASR,01/07/2012_lower95CI,01/07/2012_upper95CI,01/10/2012_DASR,01/10/2012_lower95CI,01/10/2012_upper95CI,01/01/2013_DASR,01/01/2013_lower95CI,01/01/2013_upper95CI,01/04/2013_DASR,01/04/2013_lower95CI,01/04/2013_upper95CI,01/07/2013_DASR,01/07/2013_lower95CI,01/07/2013_upper95CI,01/10/2013_DASR,01/10/2013_lower95CI,01/10/2013_upper95CI,01/01/2014_DASR,01/01/2014_lower95CI,01/01/2014_upper95CI,01/04/2014_DASR,01/04/2014_lower95CI,01/04/2014_upper95CI,01/07/2014_DASR,01/07/2014_lower95CI,01/07/2014_upper95CI,01/10/2014_DASR,01/10/2014_lower95CI,01/10/2014_upper95CI,01/01/2015_DASR,01/01/2015_lower95CI,01/01/2015_upper95CI,01/04/2015_DASR,01/04/2015_lower95CI,01/04/2015_upper95CI,01/07/2015_DASR,01/07/2015_lower95CI,01/07/2015_upper95CI,01/07/2015_DASR,01/07/2015_lower95CI,01/07/2015_upper95CI,01/01/2016_DASR,01/01/2016_lower95CI,01/01/2016_upper95CI,01/04/2016_DASR,01/04/2016_lower95CI,01/04/2016_upper95CI,01/07/2016_DASR,01/07/2016_lower95CI,01/07/2016_upper95CI,01/10/2016_DASR,01/10/2016_lower95CI,01/10/2016_upper95CI
MSOA,E02002330,832.1919,645.8955,1054.8169,909.3788,713.7619,1141.4563,913.7879,718.1944,1145.5772,919.3188,714.9012,1163.2887,844.9983,658.3372,1067.4993,855.903,668.7104,1078.766,836.5576,652.3164,1056.174,830.6869,646.789,1050.1668,820.3615,639.7438,1035.6587,824.4427,643.8925,1039.3976,760.267,588.3863,966.2048,755.4091,584.5402,960.1346,793.3798,617.2316,1003.6106,809.5134,629.2888,1024.6092,797.6267,619.876,1009.77,773.3906,598.858,982.2286,772.5854,598.5186,980.8661,765.5601,592.8507,972.2165
MSOA,E02002331,1709.7117,1416.921,2044.3386,1724.9567,1431.4555,2060.0365,1729.1238,1435.865,2063.7508,1715.1054,1416.5106,2056.9316,1673.8916,1388.4465,1999.6026,1649.9828,1368.6661,1970.983,1605.7293,1328.3678,1922.7223,1596.0768,1320.8729,1910.604,1542.248,1272.7615,1850.7515,1550.1123,1281.1009,1857.7299,1563.3239,1294.1135,1870.8354,1627.6586,1351.9424,1941.7836,1679.04,1398.4471,1998.0907,1692.3342,1410.6708,2012.4485,1699.46,1418.466,2018.5123,1685.5557,1406.3632,2002.7113,1704.7722,1427.0588,2019.6657,1705.6576,1427.7781,2020.598
MSOA,E02002332,1917.3166,1591.7291,2289.4266,1849.2695,1530.8068,2213.8402,1817.4438,1504.4364,2175.9722,1893.382,1572.8731,2259.6878,1852.0163,1535.9435,2213.6487,1853.0869,1536.0986,2215.7669,1879.5823,1563.1599,2240.8304,1948.0544,1626.2516,2314.5021,1890.4799,1574.0336,2251.5652,1866.2376,1551.7793,2225.4345,1919.8971,1601.3739,2282.9767,1863.7515,1551.2775,2220.4918,1826.4934,1518.0484,2179.0114,1789.4458,1485.197,2137.5499,1773.8117,1470.9729,2120.4964,1718.1935,1420.0089,2060.3388,1726.5373,1430.2876,2065.8709,1663.2164,1373.3471,1996.0186
MSOA,E02002333,1613.0841,1350.6959,1911.0106,1634.8074,1372.5565,1932.0348,1636.5455,1374.2113,1933.8673,1609.3857,1350.382,1903.0646,1574.3474,1318.4821,1864.8675,1545.8085,1293.7542,1832.1358,1561.9148,1309.2522,1848.6654,1559.0936,1306.508,1845.8899,1595.5638,1338.6816,1886.9695,1582.5205,1327.9225,1871.3351,1621.4996,1364.1247,1912.9429,1638.9053,1381.9327,1929.5173,1616.563,1363.7499,1902.3505,1606.1645,1355.6026,1889.2889,1660.053,1406.3751,1946.006,1656.8058,1403.2601,1942.6098,1640.2752,1389.6462,1922.7914,1654.6281,1403.5968,1937.3786
MSOA,E02002334,1889.4631,1608.6433,2204.9452,1848.8253,1572.5324,2159.4469,1863.6008,1586.652,2174.7341,1874.0389,1591.4991,2192.0373,1802.1214,1528.5229,2110.2906,1797.8018,1528.3009,2100.8989,1732.1265,1467.4402,2030.4884,1704.8995,1443.6563,1999.4961,1688.2059,1429.0684,1980.4279,1708.5401,1448.9711,2000.907,1703.9494,1445.5356,1995.0152,1678.627,1422.3164,1967.5476,1674.0956,1418.6224,1962.0722,1753.4809,1491.5631,2047.9413,1739.8364,1478.789,2033.4262,1794.7711,1529.7173,2092.2249,1822.2608,1553.9918,2123.1144,1727.7832,1467.9829,2019.863
MSOA,E02002335,884.5985,699.3101,1103.6974,864.7436,683.6214,1078.9161,914.9753,727.7267,1135.4813,1174.1831,811.3198,1641.428,855.7937,675.4692,1069.2532,865.1934,685.0084,1078.032,777.462,607.2275,980.3824,769.0409,600.6452,969.7694,762.3048,595.529,961.1024,797.6536,627.5433,999.4704,817.1465,643.926,1022.4226,795.8145,624.5904,999.1854,820.0362,646.4048,1025.5728,831.662,656.144,1039.2077,847.3559,672.1251,1053.9165,861.2681,684.6949,1069.2027,865.8486,689.4972,1073.3178,877.836,700.9103,1085.5824
MSOA,E02002336,869.6669,675.1361,1102.4339,901.908,703.6015,1138.2904,828.946,639.0794,1057.0583,801.087,616.7462,1022.8749,838.9723,650.1235,1065.2403,853.294,662.4335,1081.6693,869.548,677.6625,1098.561,842.1614,653.8112,1067.533,852.3518,663.2521,1078.3268,860.6158,670.9929,1086.9284,870.1742,679.7297,1097.185,862.1755,672.1509,1088.9676,875.1569,683.7835,1103.275,892.4412,699.1552,1122.2845,923.6119,727.2194,1156.348,933.7119,733.8794,1170.7907,858.5618,667.5335,1086.8414,851.5243,660.9079,1079.6074
MSOA,E02002337,979.9308,751.2992,1255.8165,994.2994,762.9546,1273.0443,1081.1643,836.9799,1373.3446,1071.543,830.2642,1360.2466,1002.9074,773.0327,1279.0868,1072.9102,833.2137,1359.3485,1113.3146,869.5528,1403.5264,1082.5124,844.2642,1366.5054,1113.6736,871.5483,1401.5934,1079.8956,842.5363,1362.829,1149.4145,905.4876,1438.4816,1162.4977,917.8361,1452.1165,1175.062,929.1907,1465.7986,1151.1851,908.882,1438.012,1102.8508,866.2843,1383.8319,1149.2116,906.6667,1436.3248,1188.9256,946.2249,1474.4516,1207.5383,964.1539,1493.3206
MSOA,E02002338,1718.3064,1421.1546,2058.1029,1746.9841,1448.9563,2087.2318,1735.2125,1438.4946,2074.1451,1774.8532,1473.5147,2118.8805,1818.7625,1511.3618,2169.5262,1801.5513,1498.9253,2146.51,1805.081,1503.0835,2149.1485,1850.3691,1544.5221,2198.3039,1852.9639,1548.163,2199.5405,1851.5722,1545.6911,2199.5458,1772.8406,1475.6596,2111.5926,1744.9648,1451.7208,2079.4009,1717.1662,1424.8397,2051.2626,1655.3701,1367.8178,1984.9303,1677.5831,1387.9763,2009.1199,1671.3989,1384.3252,1999.8523,1650.8627,1369.5901,1972.3257,1710.6884,1426.8819,2033.8685
MSOA,E02002339,2919.2994,2481.4912,3411.5041,3003.8796,2563.6997,3497.3561,2823.5914,2399.7469,3300.2727,2730.6744,2313.7138,3200.6842,2604.2674,2191.8454,3071.2811,2590.8016,2186.0976,3048.2911,2616.1936,2208.9789,3076.139,2742.9247,2325.4461,3213.154,2832.8625,2408.9673,3309.2521,2934.6518,2503.8358,3417.7957,2882.2641,2455.8103,3361.0153,2863.8716,2438.7354,3341.3128,2810.2355,2388.7096,3284.1349,2842.9704,2417.9185,3320.6599,2792.9571,2372.226,3266.3124,2821.2476,2396.2305,3299.425,2995.8393,2551.2434,3495.1343,3008.3083,2566.0781,3504.4239
