AreaType,AreaCodeName,01/07/2012_DASR,01/07/2012_lower95CI,01/07/2012_upper95CI,01/10/2012_DASR,01/10/2012_lower95CI,01/10/2012_upper95CI,01/01/2013_DASR,01/01/2013_lower95CI,01/01/2013_upper95CI,01/04/2013_DASR,01/04/2013_lower95CI,01/04/2013_upper95CI,01/07/2013_DASR,01/07/2013_lower95CI,01/07/2013_upper95CI,01/10/2013_DASR,01/10/2013_lower95CI,01/10/2013_upper95CI,01/01/2014_DASR,01/01/2014_lower95CI,01/01/2014_upper95CI,01/04/2014_DASR,01/04/2014_lower95CI,01/04/2014_upper95CI,01/07/2014_DASR,01/07/2014_lower95CI,01/07/2014_upper95CI,01/10/2014_DASR,01/10/2014_lower95CI,01/10/2014_upper95CI,01/01/2015_DASR,01/01/2015_lower95CI,01/01/2015_upper95CI,01/04/2015_DASR,01/04/2015_lower95CI,01/04/2015_upper95CI,01/07/2015_DASR,01/07/2015_lower95CI,01/07/2015_upper95CI,01/07/2015_DASR,01/07/2015_lower95CI,01/07/2015_upper95CI,01/01/2016_DASR,01/01/2016_lower95CI,01/01/2016_upper95CI,01/04/2016_DASR,01/04/2016_lower95CI,01/04/2016_upper95CI,01/07/2016_DASR,01/07/2016_lower95CI,01/07/2016_upper95CI,01/10/2016_DASR,01/10/2016_lower95CI,01/10/2016_upper95CI
MSOA,E02002330,3276.5463,2889.1897,3700.4428,3303.996,2913.5899,3731.1584,3404.4088,3008.8196,3836.5429,3485.3564,3068.8989,3941.407,3453.6112,3056.4678,3886.9741,3540.8314,3139.537,3978.2035,3505.4844,3109.2902,3937.2352,3577.3338,3177.7955,4012.3562,3612.0252,3210.5163,4048.9499,3605.7007,3203.9274,4042.8529,3683.6563,3278.3858,4124.1976,3678.3919,3274.6869,4117.1156,3723.5875,3318.5328,4163.436,3634.5565,3236.5476,4067.1469,3576.1594,3182.8218,4003.8432,3583.0684,3190.2775,4010.044,3564.4612,3170.9432,3992.3986,3591.8164,3200.55,4016.8562
MSOA,E02002331,3385.45,2965.3148,3847.4665,3397.27,2978.0343,3857.941,3405.2187,2987.5735,3863.7958,3335.9614,2916.4088,3797.796,3454.2969,3035.5477,3913.417,3344.0259,2934.4556,3793.4876,3399.0885,2987.5579,3850.1345,3491.1949,3073.2229,3948.826,3606.7981,3181.9253,4071.2165,3553.6447,3132.78,4013.8307,3610.9764,3188.7052,4072.185,3653.3542,3229.4032,4116.0399,3726.1517,3298.1669,4192.7504,3714.5606,3286.9443,4180.8263,3686.6637,3262.2573,4149.3611,3670.9418,3246.8819,4133.3982,3582.1958,3169.2328,4032.5505,3646.1895,3230.2371,4099.2118
MSOA,E02002332,3405.0122,2968.7378,3886.8905,3485.8905,3043.5968,3973.8794,3530.8228,3084.4634,4023.0854,3504.8075,3061.3785,3993.9433,3600.3394,3150.5296,4095.7833,3702.3225,3245.9607,4204.2755,3664.4333,3211.5855,4162.6196,3692.5183,3239.4762,4190.6249,3748.1809,3292.9048,4248.3592,3630.3566,3183.7667,4121.6584,3711.3843,3259.9725,4207.4116,3639.5852,3192.9532,4130.7399,3623.5852,3177.2838,4114.5696,3592.9155,3150.0512,4080.2156,3695.5863,3248.3978,4186.8793,3639.3357,3195.4422,4127.3836,3619.3031,3181.1139,4100.7093,3618.3107,3182.0694,4097.396
MSOA,E02002333,3364.7314,2980.7456,3783.9289,3530.478,3138.0996,3957.8861,3575.3533,3181.1691,4004.426,3559.9832,3168.5245,3985.9711,3693.2545,3294.3249,4126.7318,3763.8395,3363.3757,4198.4283,3743.3703,3345.1187,4175.5584,3805.9863,3405.7786,4239.9238,3740.4188,3344.0269,4170.4819,3827.8574,3429.4255,4259.5096,3855.1526,3456.041,4287.3402,3838.9298,3441.1691,4269.7542,3920.5234,3520.7626,4352.9261,3948.5167,3548.3916,4381.0771,3983.0446,3582.0673,4416.3405,3939.2827,3539.9804,4370.9536,3994.0321,3595.0778,4424.8703,4022.9773,3624.1884,4453.4158
MSOA,E02002334,3220.1351,2846.7879,3628.4975,3302.267,2923.9962,3715.548,3321.3772,2941.7859,3736.0355,3311.4752,2925.1016,3734.2959,3573.2449,3174.9425,4007.2304,3532.7988,3142.0026,3958.3626,3503.7616,3116.7817,3925.1102,3523.2783,3135.519,3945.3574,3519.4898,3132.0884,3941.1208,3465.9692,3082.916,3883.0424,3485.5096,3101.2319,3903.8574,3515.0948,3128.7617,3935.5632,3604.7683,3215.4885,4027.8155,3725.8901,3328.0825,4157.7592,3735.6118,3336.1568,4169.2693,3754.7189,3354.4806,4189.009,3796.5111,3395.581,4231.1795,3743.2683,3346.0895,4173.9738
MSOA,E02002335,3531.7864,3145.5198,3952.009,3486.3163,3104.9853,3901.1693,3497.236,3113.9415,3914.2822,3741.0784,3057.9168,4528.8806,3761.3441,3363.316,4193.129,3904.9013,3501.9076,4341.1926,3889.0924,3487.0273,4324.4282,3946.7303,3542.1199,4384.5245,3965.7482,3561.2357,4403.2424,3953.0932,3550.9475,4387.9324,3937.8081,3536.1637,4372.2483,3969.3073,3566.2754,4405.0574,4050.527,3643.894,4489.7491,3953.1444,3554.3159,4384.1642,3868.4029,3476.3592,4292.2728,3901.1654,3505.8219,4328.6029,3879.4786,3487.1114,4303.6065,3902.2981,3510.8178,4325.1531
MSOA,E02002336,3113.2539,2733.3605,3530.6148,3191.9518,2805.4243,3616.1263,3198.8817,2811.8184,3623.7223,3304.054,2913.1107,3732.3119,3349.2088,2957.1718,3778.2271,3349.3923,2960.2884,3774.9892,3329.5278,2943.499,3751.6921,3491.2146,3094.2042,3924.4982,3438.1158,3042.9309,3869.8763,3462.0403,3065.8525,3894.7603,3574.0025,3171.9137,4012.4984,3556.033,3155.9855,3992.3027,3512.2538,3114.9231,3945.7555,3604.8168,3201.3501,4044.5566,3706.7943,3297.9931,4151.7777,3748.4382,3331.8885,4201.9828,3825.611,3405.3579,4282.7455,3851.2321,3431.239,4307.838
MSOA,E02002337,3478.9581,3029.4644,3975.7748,3407.0311,2964.0233,3896.9046,3454.6139,3009.014,3946.9032,3631.923,3177.6458,4132.2876,3594.8558,3144.8129,4090.6587,3735.5208,3277.8573,4238.6109,3760.4715,3301.4292,4264.8834,3758.3542,3300.7824,4261.0546,3813.3478,3353.5696,4318.0001,3791.8473,3335.18,4293.0851,3881.6213,3420.9468,4386.6191,3907.3925,3445.7014,4413.3268,4001.4128,3533.6792,4513.4403,4056.6892,3582.9288,4575.14,4146.2718,3667.7369,4669.347,4143.0611,3664.1782,4666.5167,4242.3115,3769.3943,4757.5964,4240.9429,3771.608,4752.1051
MSOA,E02002338,3277.9284,2858.4776,3740.8151,3349.8624,2927.8837,3814.8442,3422.6248,2997.5577,3890.342,3540.5219,3107.5059,4016.3352,3412.0177,2984.2762,3883.2516,3534.3594,3103.5278,4007.5927,3598.8272,3164.7872,4075.1419,3576.0166,3145.5771,4048.2938,3617.6827,3185.6978,4091.3145,3646.2821,3210.7631,4123.7887,3640.1813,3205.9335,4116.2942,3658.1557,3224.6323,4133.223,3604.5127,3174.3207,4076.2629,3610.0086,3178.9325,4082.7283,3596.9002,3166.2411,4069.2474,3677.8428,3244.2506,4152.7384,3663.4238,3236.5904,4130.4431,3777.3881,3345.9593,4248.5987
MSOA,E02002339,3537.6893,3061.5241,4066.3002,3517.2161,3045.2319,4041.0497,3546.8406,3075.0699,4070.0365,3623.2512,3145.7374,4152.2893,3489.9771,3015.1952,4017.751,3564.8183,3090.7767,4090.5326,3572.6593,3098.9851,4097.7028,3446.9477,2981.4321,3964.0069,3502.3034,3034.3269,4021.423,3556.2704,3085.4155,4078.1889,3549.8456,3079.7047,4070.9727,3619.6821,3145.6025,4144.5332,3531.7001,3062.3413,4052.0903,3449.222,2986.5627,3962.7063,3543.0384,3072.7412,4064.4689,3547.3091,3072.2642,4074.5396,3618.9471,3134.0808,4157.078,3624.9777,3141.8654,4160.8872
