AreaType,AreaCodeName,01/07/2012_DASR,01/07/2012_lower95CI,01/07/2012_upper95CI,01/10/2012_DASR,01/10/2012_lower95CI,01/10/2012_upper95CI,01/01/2013_DASR,01/01/2013_lower95CI,01/01/2013_upper95CI,01/04/2013_DASR,01/04/2013_lower95CI,01/04/2013_upper95CI,01/07/2013_DASR,01/07/2013_lower95CI,01/07/2013_upper95CI,01/10/2013_DASR,01/10/2013_lower95CI,01/10/2013_upper95CI,01/01/2014_DASR,01/01/2014_lower95CI,01/01/2014_upper95CI,01/04/2014_DASR,01/04/2014_lower95CI,01/04/2014_upper95CI,01/07/2014_DASR,01/07/2014_lower95CI,01/07/2014_upper95CI,01/10/2014_DASR,01/10/2014_lower95CI,01/10/2014_upper95CI,01/01/2015_DASR,01/01/2015_lower95CI,01/01/2015_upper95CI,01/04/2015_DASR,01/04/2015_lower95CI,01/04/2015_upper95CI,01/07/2015_DASR,01/07/2015_lower95CI,01/07/2015_upper95CI,01/07/2015_DASR,01/07/2015_lower95CI,01/07/2015_upper95CI,01/01/2016_DASR,01/01/2016_lower95CI,01/01/2016_upper95CI,01/04/2016_DASR,01/04/2016_lower95CI,01/04/2016_upper95CI,01/07/2016_DASR,01/07/2016_lower95CI,01/07/2016_upper95CI,01/10/2016_DASR,01/10/2016_lower95CI,01/10/2016_upper95CI
MSOA,E02002330,3283.2044,2891.6069,3712.4033,3279.3022,2889.472,3706.4147,3314.5468,2924.1763,3741.813,3372.8665,2962.9307,3822.8118,3365.9551,2972.3616,3796.322,3428.7415,3032.8276,3861.2303,3462.0203,3065.6641,3894.6561,3391.9685,3001.4608,3818.4847,3397.1737,3008.5654,3821.3525,3405.9548,3016.6968,3830.7131,3395.9826,3007.6398,3819.7423,3382.8436,2995.1704,3805.937,3433.5722,3043.2121,3859.2774,3421.2871,3030.6598,3847.4751,3411.588,3023.1812,3835.2897,3380.9034,2992.4955,3804.8634,3408.4503,3017.1599,3835.4914,3390.1048,3002.8181,3812.6482
MSOA,E02002331,4279.0377,3795.3041,4806.3376,4270.4203,3788.8553,4795.2035,4222.6194,3744.4096,4743.8981,4321.6258,3828.645,4859.3237,4377.4373,3892.6953,4904.6488,4402.2674,3921.2721,4924.7813,4492.683,4007.5953,5019.0413,4540.7153,4053.1519,5069.4994,4583.0733,4093.2559,5113.9816,4576.8,4090.1899,5104.0444,4526.3865,4046.997,5045.6251,4596.6641,4115.1193,5117.7608,4776.5932,4285.0988,5307.6454,4856.0382,4361.3748,5390.0146,4787.1391,4297.5421,5315.8093,4750.3463,4263.2948,5276.4319,4726.2434,4244.5959,5246.2761,4800.4211,4314.5517,5324.535
MSOA,E02002332,4784.862,4261.8523,5353.8485,4730.3773,4211.4547,5295.0723,4760.0573,4238.8543,5327.1559,4877.6007,4351.2895,5449.5658,4859.3065,4335.0058,5429.0121,4994.8261,4462.7091,5572.359,4994.1763,4463.3976,5570.1129,5063.632,4531.7711,5640.249,5020.988,4492.44,5594.2218,4933.3563,4411.6256,5499.4752,4919.29,4399.0789,5483.76,5033.6602,4508.6913,5602.6688,5045.3732,4520.0873,5614.6576,5074.486,4548.9603,5643.8288,5125.4491,4598.178,5696.3516,5134.8192,4607.3669,5705.8526,5078.1441,4559.903,5638.8883,5093.2165,4575.2123,5653.5796
MSOA,E02002333,4097.994,3674.6231,4556.2939,4142.1804,3718.9089,4600.0135,4142.5228,3718.9576,4600.7243,4159.9224,3737.2099,4616.9507,4307.5336,3877.8982,4771.3613,4495.9142,4058.7083,4966.9824,4569.6064,4130.6725,5042.0967,4757.8283,4309.7471,5239.4814,4716.2475,4269.7414,5196.374,4661.7399,4221.1327,5135.4821,4687.6309,4245.7777,5162.6303,4655.7114,4216.0415,5128.487,4682.5759,4243.2944,5154.689,4711.0805,4271.5947,5183.213,4753.2379,4313.7968,5225.0482,4931.1634,4482.9064,5411.825,4919.6485,4473.8067,5397.6462,4932.3186,4487.3024,5409.285
MSOA,E02002334,3605.4667,3204.5387,4042.2502,3553.6864,3156.0378,3987.085,3540.6546,3144.2417,3972.7695,3517.8379,3114.0012,3958.9814,3575.5848,3173.5517,4013.8261,3691.6375,3288.2215,4130.3386,3744.3122,3337.5572,4186.4088,3690.7629,3289.4244,4127.0879,3733.2755,3328.4895,4173.1163,3720.1767,3317.7858,4157.358,3764.0252,3359.3589,4203.5082,3772.8798,3366.963,4213.7209,3808.5907,3402.9735,4248.7721,3844.5124,3434.9331,4288.9381,3907.0706,3493.4512,4355.6046,3928.6173,3515.2501,4376.6086,3950.5285,3537.107,4398.3677,3885.1234,3476.8429,4327.5495
MSOA,E02002335,2831.84,2487.7667,3209.7764,2855.0443,2511.397,3232.1621,2861.4129,2514.9341,3241.7781,3685.3552,3007.4197,4467.6493,2983.3669,2627.9999,3372.8564,3094.6299,2735.2621,3487.5734,3160.2595,2797.4267,3556.5489,3143.8769,2782.868,3538.1742,3041.0655,2686.8701,3428.4164,3070.0572,2714.7729,3458.3478,3098.945,2742.2333,3488.6716,3088.0369,2732.3661,3476.6262,3048.6458,2697.178,3432.704,3108.3688,2753.7638,3495.4913,3067.2675,2716.6446,3450.1019,3146.1346,2789.879,3534.8219,3175.1414,2819.2344,3563.1023,3166.1058,2812.6057,3551.2752
MSOA,E02002336,3452.1332,3051.4694,3890.3742,3515.9528,3112.7378,3956.4171,3511.0574,3106.3026,3953.4143,3488.6914,3087.6773,3926.8901,3508.8864,3106.3706,3948.587,3567.8055,3163.2184,4009.2909,3593.4965,3189.4499,4034.1275,3642.9025,3236.4923,4085.7861,3644.1719,3238.1257,4086.6588,3641.2281,3236.0536,4082.7651,3750.7985,3338.7401,4199.3274,3757.2383,3343.6436,4207.5023,3657.1189,3251.5794,4098.9263,3700.5081,3289.5616,4148.142,3710.4621,3299.198,4158.3783,3658.0639,3248.289,4104.7442,3586.9661,3180.2916,4030.6622,3574.4574,3170.6994,4014.8393
MSOA,E02002337,3515.7315,3067.3107,4010.8055,3564.5358,3112.9512,4062.6679,3529.4344,3079.937,4025.4791,3517.3097,3068.7662,4012.41,3541.0175,3091.3249,4037.1697,3734.29,3275.1215,4239.2309,3727.8445,3269.318,4232.0794,3687.4183,3232.2913,4188.1119,3655.3352,3204.0084,4151.8482,3641.7403,3193.6002,4134.6501,3578.9979,3137.8977,4064.3568,3599.3618,3158.6888,4083.9634,3652.1091,3208.0812,4140.0226,3647.9872,3205.4012,4134.2238,3653.0148,3211.1947,4138.2269,3751.8704,3303.3502,4243.8076,3862.9358,3418.6035,4348.547,4032.5343,3579.5176,4526.643
MSOA,E02002338,4153.6587,3682.5379,4667.5137,4204.6156,3731.3921,4720.4589,4332.7007,3853.4324,4854.3157,4273.1629,3796.9774,4791.86,4280.8344,3799.0661,4806.1465,4368.5985,3886.8438,4892.9196,4448.3071,3962.3564,4976.7619,4532.8797,4043.5829,5064.4808,4627.9628,4134.4153,5163.6344,4771.5817,4269.0266,5316.4269,4775.6417,4275.2554,5317.941,4821.7438,4321.5703,5363.4313,4795.2932,4296.0729,5336.1372,4829.5848,4327.2462,5373.7436,4886.4926,4380.0374,5434.9198,4923.7569,4418.0292,5471.0228,4864.369,4369.2646,5399.7827,4802.8749,4313.6529,5331.9853
MSOA,E02002339,5790.3949,5174.1543,6459.3154,5786.6911,5175.717,6449.4821,5768.5393,5160.3089,6428.3539,5891.0035,5276.241,6557.3386,5985.0247,5355.3093,6667.9789,6550.4469,5899.871,7252.7986,6635.915,5980.6972,7342.8482,6671.2487,6016.2803,7377.6322,6696.7752,6040.414,7404.5219,6780.3704,6121.7162,7490.1734,6869.9813,6206.5377,7584.6746,6831.9656,6172.082,7542.8239,6873.1996,6209.5112,7588.0896,6920.835,6255.2229,7637.5966,7007.8745,6338.3645,7728.5027,7009.219,6336.3963,7733.6783,7081.7593,6401.0166,7814.8142,6945.1281,6274.4311,7667.6352
