AreaType,AreaCodeName,01/07/2012_DASR,01/07/2012_lower95CI,01/07/2012_upper95CI,01/10/2012_DASR,01/10/2012_lower95CI,01/10/2012_upper95CI,01/01/2013_DASR,01/01/2013_lower95CI,01/01/2013_upper95CI,01/04/2013_DASR,01/04/2013_lower95CI,01/04/2013_upper95CI,01/07/2013_DASR,01/07/2013_lower95CI,01/07/2013_upper95CI,01/10/2013_DASR,01/10/2013_lower95CI,01/10/2013_upper95CI,01/01/2014_DASR,01/01/2014_lower95CI,01/01/2014_upper95CI,01/04/2014_DASR,01/04/2014_lower95CI,01/04/2014_upper95CI,01/07/2014_DASR,01/07/2014_lower95CI,01/07/2014_upper95CI,01/10/2014_DASR,01/10/2014_lower95CI,01/10/2014_upper95CI,01/01/2015_DASR,01/01/2015_lower95CI,01/01/2015_upper95CI,01/04/2015_DASR,01/04/2015_lower95CI,01/04/2015_upper95CI,01/07/2015_DASR,01/07/2015_lower95CI,01/07/2015_upper95CI,01/07/2015_DASR,01/07/2015_lower95CI,01/07/2015_upper95CI,01/01/2016_DASR,01/01/2016_lower95CI,01/01/2016_upper95CI,01/04/2016_DASR,01/04/2016_lower95CI,01/04/2016_upper95CI,01/07/2016_DASR,01/07/2016_lower95CI,01/07/2016_upper95CI,01/10/2016_DASR,01/10/2016_lower95CI,01/10/2016_upper95CI
MSOA,E02002330,17332.3354,16191.3682,18529.2373,17110.0133,15979.3747,18296.3197,17029.6489,15900.4123,18214.5143,16834.3935,15666.4799,18062.686,16831.3442,15708.3912,18009.8881,16674.4892,15554.6537,17850.0361,16618.7447,15503.5825,17789.4165,16918.6366,15791.1457,18101.8213,17000.9533,15869.696,18188.0298,17096.1544,15961.639,18286.4681,16982.333,15853.0916,18167.2034,17226.4618,16087.7008,18420.9598,17447.4912,16298.2263,18652.7087,17384.3669,16241.6735,18582.6636,17238.4563,16099.1922,18433.3631,17226.6565,16089.01,18419.7782,17337.9035,16201.8245,18529.0894,17375.0486,16238.1657,18566.9907
MSOA,E02002331,22966.4825,21507.9514,24494.9218,22807.2294,21357.9497,24326.0095,22708.1087,21261.1701,24224.6143,22716.8323,21234.3601,24272.2161,22867.1945,21404.1129,24400.5467,22604.627,21154.1782,24124.7756,22615.9,21162.402,24139.2443,22580.2805,21133.2991,24096.5809,22603.6661,21158.9403,24117.2858,22848.2616,21398.7794,24366.3095,22700.0313,21262.3006,24205.8058,23124.2923,21670.3601,24646.3231,23231.7856,21773.2317,24758.3551,22752.1265,21314.8341,24256.9037,23033.666,21585.0284,24549.8897,23509.1558,22043.5519,25042.4492,23184.1603,21773.6033,24658.7445,23185.8156,21776.759,24658.6259
MSOA,E02002332,23272.3339,21893.4504,24714.0096,23172.6649,21803.1941,24604.4127,23142.1819,21768.732,24578.293,23686.7787,22298.9204,25137.146,23847.1449,22455.2222,25301.4491,23602.9278,22218.8921,25049.2438,23748.4143,22362.0506,25196.8545,23907.581,22517.3768,25359.784,23743.5342,22362.0903,25186.7236,23660.1834,22282.0781,25099.9678,23826.1419,22446.3775,25267.3302,24150.3753,22759.4082,25602.9111,24586.479,23180.3303,26054.3563,24389.0759,22987.3899,25852.5617,24458.9713,23061.1428,25918.1103,24622.9901,23223.9299,26083.0481,24209.5736,22856.8158,25620.4992,24337.5182,22986.0604,25746.754
MSOA,E02002333,19972.8853,18890.8313,21100.121,19984.6361,18911.4263,21102.3293,19683.9749,18620.8779,20791.4101,19722.5302,18661.3576,20827.7722,19854.9357,18792.3716,20961.3733,19862.859,18805.0407,20964.1231,19601.9509,18552.2899,20694.9527,19261.943,18219.1634,20348.2644,19423.2675,18378.8295,20510.9963,19508.1894,18462.6685,20596.8801,19313.07,18273.5561,20395.7372,19266.9367,18227.4661,20349.6591,19507.3519,18464.3473,20593.3077,19748.4136,18698.4738,20841.3134,19699.7606,18652.8738,20789.4665,19790.9501,18740.0623,20884.7242,20209.7393,19146.8367,21315.572,20234.192,19173.1951,21337.9482
MSOA,E02002334,19605.7222,18345.3541,20925.9802,19586.2579,18325.607,20906.8122,19402.5367,18155.218,20709.3356,19618.0259,18319.5691,20979.9005,19534.7176,18251.4231,20879.807,19404.7916,18143.222,20726.6744,19203.362,17950.3848,20516.4876,19201.37,17946.514,20516.3719,19051.2614,17803.9551,20358.4132,19188.6194,17940.3876,20496.3146,19120.6154,17877.7368,20422.6723,19480.9473,18222.8671,20798.3615,19322.0607,18078.4515,20624.3214,19014.2662,17792.3038,20294.1477,19215.6088,17976.9043,20512.967,19650.5063,18398.4713,20960.8133,19565.4573,18327.473,20860.7004,19556.7294,18323.5732,20846.7853
MSOA,E02002335,16385.765,15335.8864,17486.225,16399.9808,15354.3759,17495.7536,16478.6385,15422.6804,17585.2092,16218.2574,14486.6408,18093.8142,16450.1117,15396.0283,17554.8218,16642.2078,15581.2314,17753.6504,16323.8064,15273.5646,17424.4385,16396.7948,15345.1038,17498.7651,16347.6075,15295.6733,17449.884,16520.0148,15462.0678,17628.2585,16567.3202,15504.0386,17681.2802,16747.6787,15680.7083,17865.0954,16812.2549,15743.2066,17931.7471,16786.9532,15725.0306,17898.7852,16976.4436,15904.0824,18099.0562,17071.9041,16001.5428,18192.2517,16771.7117,15732.8236,17858.8349,16749.7133,15712.7073,17834.7745
MSOA,E02002336,15654.3769,14601.6587,16761.0072,15428.8532,14381.2391,16530.4663,15627.4393,14565.1453,16744.489,15737.6649,14672.9719,16856.8832,15967.2995,14901.8887,17086.4002,15826.1928,14772.6015,16932.7885,15687.9947,14638.0372,16791.0139,15644.4076,14595.2568,16746.6398,15843.3749,14791.134,16948.4627,15743.1679,14698.9649,16839.9029,15814.8235,14769.8673,16912.2019,15908.5009,14859.4146,17010.0109,15931.7314,14879.7093,17036.2655,16133.5917,15074.7511,17244.9644,15948.3997,14902.2397,17046.5484,16104.3886,15051.4174,17209.572,16570.0843,15500.0029,17692.5131,16772.0863,15698.8055,17897.4279
MSOA,E02002337,16616.7691,15500.9152,17791.0101,16658.7281,15545.6111,17829.8068,16783.4233,15662.6087,17962.4599,16451.6682,15343.2295,17618.2125,16620.1796,15499.9695,17799.1483,16354.2498,15251.4463,17514.9344,16198.4413,15102.549,17352.0649,16997.7883,15494.1215,18606.0185,16220.418,15126.8985,17371.2611,16329.6559,15233.8743,17482.6003,16299.6729,15207.6545,17448.6233,16539.7596,15441.4086,17694.8595,16843.9837,15733.5902,18011.2762,17074.1044,15960.2716,18244.4852,17333.1745,16211.9522,18510.7718,17291.6983,16173.6807,18465.8664,17238.5837,16169.3275,18359.4889,17278.3955,16212.3287,18395.7439
MSOA,E02002338,18399.2602,17238.6315,19616.8793,18232.6624,17084.0928,19437.5696,18267.3018,17119.4514,19471.304,18317.0238,17171.2512,19518.6381,18253.2653,17096.4174,19467.2572,18599.0018,17439.104,19815.2211,18445.6765,17290.192,19657.5359,19436.38,17914.9317,21051.3316,18946.5703,17775.3114,20174.2001,18998.339,17828.8613,20223.8416,19012.7929,17845.0087,20236.4065,19031.9678,17865.4543,20254.08,19311.7298,18139.2937,20539.5157,19340.3089,18165.8257,20570.1834,19561.866,18378.4931,20800.8289,19759.0338,18574.0124,20999.2082,19679.5321,18526.0242,20885.4961,19761.699,18613.0582,20962.1923
MSOA,E02002339,26100.8675,24582.4001,27688.102,26321.3006,24804.5745,27906.0933,26333.1547,24824.1172,27909.6407,26437.2472,24925.9943,28015.8672,26272.0626,24744.8017,27868.5842,26408.1707,24901.4915,27981.9238,26172.8768,24676.8175,27735.5668,26217.2717,24660.7944,27845.8768,26282.682,24787.8988,27843.6872,26457.2394,24959.3154,28021.2638,26368.5484,24875.533,27927.5051,26440.9672,24948.1773,27999.4594,26509.1049,25010.2062,28074.0607,26345.104,24850.9826,27905.3021,26502.2563,25007.8802,28062.3475,26779.2014,25274.1383,28350.1933,26944.7326,25430.0603,28525.7546,27040.9767,25532.1166,28615.4545
