AreaType,AreaCodeName,01/07/2012_DASR,01/07/2012_lower95CI,01/07/2012_upper95CI,01/10/2012_DASR,01/10/2012_lower95CI,01/10/2012_upper95CI,01/01/2013_DASR,01/01/2013_lower95CI,01/01/2013_upper95CI,01/04/2013_DASR,01/04/2013_lower95CI,01/04/2013_upper95CI,01/07/2013_DASR,01/07/2013_lower95CI,01/07/2013_upper95CI,01/10/2013_DASR,01/10/2013_lower95CI,01/10/2013_upper95CI,01/01/2014_DASR,01/01/2014_lower95CI,01/01/2014_upper95CI,01/04/2014_DASR,01/04/2014_lower95CI,01/04/2014_upper95CI,01/07/2014_DASR,01/07/2014_lower95CI,01/07/2014_upper95CI,01/10/2014_DASR,01/10/2014_lower95CI,01/10/2014_upper95CI,01/01/2015_DASR,01/01/2015_lower95CI,01/01/2015_upper95CI,01/04/2015_DASR,01/04/2015_lower95CI,01/04/2015_upper95CI,01/07/2015_DASR,01/07/2015_lower95CI,01/07/2015_upper95CI,01/07/2015_DASR,01/07/2015_lower95CI,01/07/2015_upper95CI,01/01/2016_DASR,01/01/2016_lower95CI,01/01/2016_upper95CI,01/04/2016_DASR,01/04/2016_lower95CI,01/04/2016_upper95CI,01/07/2016_DASR,01/07/2016_lower95CI,01/07/2016_upper95CI,01/10/2016_DASR,01/10/2016_lower95CI,01/10/2016_upper95CI
MSOA,E02002330,11799.9824,10871.213,12784.8982,11772.3074,10843.8224,12757.1044,11807.8573,10874.6723,12797.6856,11344.8369,10399.0479,12351.5139,11521.3934,10596.123,12503.6713,11730.2573,10799.8768,12717.2499,11755.5101,10826.7973,12740.6409,11462.7768,10544.8256,12437.2371,11416.8166,10503.9296,12385.9009,11361.4613,10451.697,12327.2778,11037.4658,10141.5675,11989.3203,10810.5138,9923.0893,11754.0483,10919.0593,10025.907,11868.4354,10571.2683,9694.9103,11503.6348,10540.1107,9662.5195,11474.0446,10497.2202,9618.5757,11432.5341,10764.6639,9867.4719,11719.4045,10551.13,9660.3988,11499.6302
MSOA,E02002331,19002.7026,17740.2363,20330.1271,18915.0107,17660.5953,20233.97,18706.2342,17463.2442,20013.3318,18293.2521,17038.3411,19614.9351,18109.7755,16882.9663,19401.0138,18029.8779,16813.7667,19309.6222,17867.3746,16654.0743,19144.5124,17500.828,16300.99,18764.4273,17114.9218,15925.578,18368.2381,17270.7262,16075.7331,18529.7078,17113.4601,15934.5551,18355.3716,17216.1778,16028.5172,18467.2323,17160.1892,15970.5419,18413.5795,16960.838,15782.798,18202.1611,16705.177,15531.6206,17942.4755,16614.6098,15437.3192,17856.2693,15767.9966,14644.8159,16953.0421,15869.8603,14739.7397,17062.0605
MSOA,E02002332,20071.5697,18813.6002,21390.7195,20511.9716,19238.5677,21846.726,20415.6323,19138.6055,21754.5703,19970.9189,18708.3341,21295.3674,19775.2702,18516.7425,21095.8295,20280.6314,19004.4038,21619.0587,19914.4007,18655.177,21235.2904,19632.3671,18385.0205,20941.1276,19568.5465,18323.0648,20875.5169,19048.1676,17819.9624,20337.8501,18764.5504,17551.5445,20038.5461,18447.702,17241.0363,19715.7701,18341.7953,17135.9674,19609.2683,18237.2732,17029.1748,19507.6059,18026.3188,16826.4267,19288.317,18172.0544,16969.1079,19436.8966,17485.4348,16332.8342,18697.2011,17630.4803,16479.2887,18840.2176
MSOA,E02002333,17609.4567,16615.8674,18646.5139,17921.8043,16919.3587,18967.7159,18007.0795,17002.7813,19054.7963,17666.0965,16672.3307,18703.1897,17492.2323,16505.982,18521.574,17495.2401,16509.5939,18523.8963,17150.4472,16171.7061,18172.4537,16630.7735,15666.8419,17638.0028,16493.1201,15532.9924,17496.5706,16137.6016,15190.3796,17127.9187,16133.0925,15184.2413,17125.1931,16039.6281,15090.7066,17032.0453,15985.1166,15037.8515,16975.8628,16039.0675,15090.3858,17031.2135,15749.9037,14810.6206,16732.5887,15101.2065,14179.1001,16066.9101,14832.9593,13916.3528,15793.387,14750.0737,13837.2262,15706.6745
MSOA,E02002334,13309.915,12345.3767,14328.0156,13347.8678,12374.8066,14375.1133,13097.3236,12137.871,14110.6504,13172.0652,12180.1452,14221.1431,13126.1597,12145.18,14163.0515,13223.9847,12250.767,14251.8878,13028.3366,12063.7326,14047.4878,12844.6221,11887.5379,13856.1778,12567.2832,11622.0146,13566.9013,12358.152,11427.2721,13342.712,12134.0438,11213.8349,13107.7539,11862.6236,10955.1916,12823.3365,11742.2011,10840.8837,12696.6851,11794.6146,10890.6904,12751.8181,11708.7184,10804.2211,12666.8607,11392.86,10505.3222,12333.5795,11217.2001,10341.7379,12145.2462,11288.317,10411.9877,12216.9897
MSOA,E02002335,10835.5493,9987.8817,11733.8886,10718.7874,9880.3375,11607.4376,10820.1647,9972.8962,11718.1615,11730.8304,10250.3264,13358.919,10509.623,9668.7635,11401.944,10636.3558,9796.5681,11526.9519,10359.9373,9530.581,11240.2205,10282.0134,9452.5943,11162.7073,10002.1268,9186.4893,10868.7076,10115.3338,9294.7627,10986.849,10183.6633,9359.7562,11058.678,10032.3452,9217.9796,10897.4433,9829.6131,9029.7581,10679.4689,9934.3739,9133.1415,10785.2649,9614.7537,8830.5735,10448.1684,9359.0196,8585.1291,10182.2806,9151.7602,8396.9393,9954.7351,9068.8582,8314.9478,9871.215
MSOA,E02002336,11309.9608,10408.3836,12266.5786,11108.6432,10214.4751,12057.8101,11138.9688,10237.4691,12096.2466,11267.4951,10356.953,12234.2319,11074.8711,10172.0865,12033.6561,11160.1567,10253.4358,12122.8838,11056.4129,10156.1002,12012.5726,10940.7899,10043.3473,11894.2368,10876.2601,9978.8447,11830.0688,10672.2255,9787.4172,11613.0777,10608.7499,9727.2501,11546.3841,10346.1052,9474.6589,11273.7567,10266.9033,9397.6135,11192.519,10077.6419,9217.7833,10993.5812,9925.6839,9077.1953,10829.6686,9541.8613,8707.9083,10431.6974,9504.6186,8676.4085,10388.3269,9629.1594,8798.4323,10515.0626
MSOA,E02002337,11114.4154,10231.6721,12052.3888,11108.8228,10227.7679,12044.9545,11042.4077,10163.9181,11975.957,11052.1998,10172.3251,11987.2209,11039.0456,10153.9698,11979.9349,10599.0578,9738.454,11514.6632,10464.3464,9611.2725,11372.1391,10439.2024,9582.9671,11350.6618,10421.9102,9562.5968,11336.9031,10218.8684,9369.5732,11123.7124,10162.8876,9314.7647,11066.6939,9839.8576,9008.4252,10726.567,9889.1421,9054.4848,10779.2366,9992.4748,9154.5704,10885.7092,9879.9827,9044.7146,10770.837,9722.4937,8896.3097,10603.9853,9508.7932,8728.9778,10338.9968,9114.6095,8355.7774,9923.4058
MSOA,E02002338,16413.2668,15363.3844,17515.4962,16077.4515,15043.3426,17163.4676,15895.7254,14864.0998,16979.5756,15691.1066,14668.1259,16766.1126,15959.8208,14917.9839,17054.7339,15685.359,14663.5751,16759.1074,15554.3138,14534.2312,16626.6676,15438.44,14423.336,16505.7438,15328.6353,14314.9953,16394.7098,15423.0584,14412.5259,16485.4031,14889.4109,13897.3529,15933.2837,14595.388,13610.7269,15632.0818,14597.1527,13612.4793,15633.8595,14761.9523,13766.8673,15809.5556,14522.4303,13534.0041,15563.549,14413.4422,13427.3416,15452.312,13891.0283,12952.9051,14878.6327,13761.1361,12831.9148,14739.4301
MSOA,E02002339,25192.7451,23813.5885,26630.5763,25057.7541,23684.6097,26489.4123,24759.882,23394.6647,26183.7059,24504.9616,23145.8145,25922.7947,24190.5701,22823.0342,25618.3216,24399.7137,23046.5533,25811.3016,24317.7432,22966.1138,25727.8073,24244.824,22896.181,25651.8459,24183.6411,22837.1449,25588.4968,23821.6205,22481.9805,25219.9934,23392.8723,22063.9083,24780.7381,23232.9607,21907.5097,24617.4177,22915.538,21592.2398,24298.4104,22787.3759,21465.2849,24169.2584,22581.7825,21266.6131,23956.6492,21914.6539,20617.5586,23271.6275,22047.0652,20746.3178,23407.6038,22117.6773,20818.3467,23476.5095
MSOA,E02002340,18331.2203,17144.0801,19578.6649,18274.0242,17089.1791,19519.1265,18076.9339,16901.4774,19312.3432,18127.9467,16951.7333,19364.0129,17970.4197,16784.5692,19217.6495,18169.0129,16987.8775,19410.2862,18241.1458,17056.0023,19486.5965,17795.8666,16625.0544,19027.0638,17857.3828,16683.0342,19092.2271,17817.7675,16643.9859,19052.1591,17848.6827,16674.1912,19083.7131,17633.2438,16463.2556,18864.045,17556.6945,16386.4492,18787.9871,17495.4593,16326.7187,18725.3171,17374.8409,16206.3706,18604.7899,17011.8842,15855.2395,18230.0723,16337.308,15207.079,17528.7652,16568.8677,15427.3982,17771.9334
