AreaType,AreaCodeName,2006-2010Persons_dsr,2006-2010Persons_lower95CI,2006-2010Persons_upper95CI,2007-2011Persons_dsr,2007-2011Persons_lower95CI,2007-2011Persons_upper95CI,2008-2012Persons_dsr,2008-2012Persons_lower95CI,2008-2012Persons_upper95CI,2009-2013Persons_dsr,2009-2013Persons_lower95CI,2009-2013Persons_upper95CI,2010-2014Persons_dsr,2010-2014Persons_lower95CI,2010-2014Persons_upper95CI,2011-2015Persons_dsr,2011-2015Persons_lower95CI,2011-2015Persons_upper95CI,2006-2010Males_dsr,2006-2010Males_lower95CI,2006-2010Males_upper95CI,2007-2011Males_dsr,2007-2011Males_lower95CI,2007-2011Males_upper95CI,2008-2012Males_dsr,2008-2012Males_lower95CI,2008-2012Males_upper95CI,2009-2013Males_dsr,2009-2013Males_lower95CI,2009-2013Males_upper95CI,2010-2014Males_dsr,2010-2014Males_lower95CI,2010-2014Males_upper95CI,2011-2015Males_dsr,2011-2015Males_lower95CI,2011-2015Males_upper95CI,2006-2010Females_dsr,2006-2010Females_lower95CI,2006-2010Females_upper95CI,2007-2011Females_dsr,2007-2011Females_lower95CI,2007-2011Females_upper95CI,2008-2012Females_dsr,2008-2012Females_lower95CI,2008-2012Females_upper95CI,2009-2013Females_dsr,2009-2013Females_lower95CI,2009-2013Females_upper95CI,2010-2014Females_dsr,2010-2014Females_lower95CI,2010-2014Females_upper95CI,2011-2015Females_dsr,2011-2015Females_lower95CI,2011-2015Females_upper95CI
MSOA,E02002330,96.1,66.5921,134.0962,85.8,58.473,121.4029,93.1,64.9134,129.2652,82.3,55.9081,116.6847,78.7,52.9479,112.3952,79.9,53.7211,114.1537,96,55.4348,154.409,64.8,33.4028,113.3166,79.8,44.5118,131.8416,85.5,48.63,139.1971,84.8,48.0905,138.2633,105.2,63.8036,163.1097,95.2,56.1328,150.8686,105.6,63.9691,163.8379,104.8,64.1394,161.2156,78.2,43.8359,128.2476,72.2,39.2761,120.7548,56.7,27.1111,103.3327
MSOA,E02002331,138.3,98.1302,189.3334,179.1,132.5399,236.6046,174.2,128.4746,230.7961,188.2,140.9419,246.0989,185.1,139.0148,241.4563,162.2,119.5643,214.9719,137.3,81.2111,217.2234,194.9,127.0207,285.9687,178.5,114.0066,266.0851,209.3,139.7402,301.1593,226.2,154.195,320.0117,196.4,129.9079,284.647,141,86.8141,216.1816,167.2,106.3894,249.7837,171.3,110.151,253.8245,170,109.3303,251.8776,148.5,93.4835,223.7153,132,81.1171,202.5987
MSOA,E02002332,144.8,103.262,197.4112,141.2,100.2258,193.2553,137.9,97.879,188.7443,117.3,81.1395,164.0367,119.1,82.8383,165.7927,104.3,70.7414,148.2096,204.5,134.2837,298.1812,198.5,129.1788,291.5032,209.9,138.9598,304.0505,170,107.483,255.4696,158.2,98.8011,239.9876,135.9,81.5332,212.6304,89.2,47.37,152.725,89.2,47.3844,152.7031,73.5,36.5707,131.7013,72.1,35.8671,129.2037,84,44.6615,143.7413,76.8,39.57,134.3299
MSOA,E02002333,149,110.1623,196.9669,142.1,104.664,188.436,152.6,113.9003,200.1048,126,91.5923,168.9889,140.7,104.7527,184.9137,156.4,119.0364,201.6976,169.6,110.0282,249.5231,157.4,100.9866,233.5335,189.2,127.6747,269.7025,159.4,104.2157,233.0259,159.3,104.9587,231.4206,167.4,112.9286,238.6729,135.5,86.4814,202.0696,131.8,84.0862,196.5976,120.3,75.082,182.5617,96.2,56.8006,152.3419,125.7,80.3799,187.2468,147.3,98.4475,211.8136
MSOA,E02002334,100.4,70.8971,138.0004,97.5,68.8452,134.0196,84.9,58.662,118.8121,100.3,71.514,136.7597,104.5,75.1651,141.4416,120.9,89.28,160.0373,91.5,53.1534,146.7145,91.1,52.9187,146.0765,75.1,40.8704,126.2853,92.3,53.5897,148.0382,95.4,56.3954,150.9793,97,58.3004,151.6185,111.2,68.5462,170.3811,105.4,64.9828,161.4778,94.1,57.2092,145.7068,108.3,68.4289,162.8094,112.1,71.5533,167.1643,141.2,94.8975,202.0574
MSOA,E02002335,116.5,83.6671,157.7342,106.1,75.0619,145.4121,112.5,80.728,152.4018,96.2,68.166,131.8155,98.5,70.1203,134.4452,93,65.6244,127.8892,128,81.6887,190.893,107.7,66.2875,165.1588,116.2,73.2364,174.9373,90.5,53.231,143.6061,88.9,52.3369,141.0002,83.8,48.5987,134.4857,105.8,62.2054,167.3271,104.4,61.1744,165.4064,108.4,64.7129,169.5143,101.5,62.5755,155.5068,107,66.7618,162.4048,101.2,62.3764,155.0668
MSOA,E02002336,132.6,96.5783,177.6055,110.6,78.1668,151.9351,106.6,74.2629,148.0905,114.4,80.393,157.7408,117.1,82.7078,160.7932,116,81.9255,159.2896,148.6,95.9103,219.7081,113.2,68.0379,176.9394,105.6,62.4656,167.064,103.7,60.0476,166.5542,111.1,65.4585,176.1365,115.3,69.002,180.6426,116.7,71.1344,180.4421,108.8,65.3544,170.1168,109.3,63.4377,174.6511,125.9,76.5554,194.3645,125.1,76.0829,193.1101,117.8,70.6524,183.7552
MSOA,E02002337,148.4,107.1778,200.1701,145.3,104.9059,196.0302,124.2,87.7093,170.7062,104.2,71.5467,146.5688,101.1,68.9588,142.9752,83.5,54.83,121.751,154.3,96.2662,234.208,143.4,88.3392,219.7955,128.1,76.8253,200.4664,110.6,64.1158,177.5316,119.1,70.2151,188.7582,98,54.4786,162.1836,144.5,89.1199,221.3385,148,92.4146,224.5367,119.1,71.5239,186.2464,97.3,55.4716,158.2185,83.9,45.6752,141.0596,70.2,36.0746,122.9325
MSOA,E02002338,151.4,106.694,208.3763,147.8,104.6182,202.6599,149.2,106.1083,203.779,176.9,130.8631,233.7584,170.3,125.624,225.5973,141.9,102.0183,192.1233,186.1,115.6936,283.0441,184.5,115.8782,278.3157,190.1,120.609,284.4721,238.6,162.0812,338.2926,230.4,155.6732,328.176,181.7,118.1691,266.9348,121.1,68.7552,197.3345,116.1,65.9555,189.1299,114.4,65.0566,186.2633,122.3,72.1113,193.816,118.6,69.9692,187.896,106.3,60.5069,172.9927
MSOA,E02002339,152.6,105.3453,213.6757,134.7,89.9399,193.8093,157.8,109.5691,219.9051,153.5,106.4431,214.0933,135.7,92.5041,191.9778,161.8,114.7867,221.5276,140,77.355,232.3863,131.2,69.2855,225.2262,178.6,106.5217,280.3274,178.6,107.7623,277.6955,188.1,115.2743,289.1439,219.6,141.0757,325.5736,164.3,98.7556,256.8059,139.3,79.4472,226.469,138.5,78.9871,225.174,129.2,72.1384,213.3521,89.7,44.6443,160.7087,111.3,60.7312,186.9183
