AreaType,AreaCodeName,2006-2010Persons_dsr,2006-2010Persons_lower95CI,2006-2010Persons_upper95CI,2007-2011Persons_dsr,2007-2011Persons_lower95CI,2007-2011Persons_upper95CI,2008-2012Persons_dsr,2008-2012Persons_lower95CI,2008-2012Persons_upper95CI,2009-2013Persons_dsr,2009-2013Persons_lower95CI,2009-2013Persons_upper95CI,2010-2014Persons_dsr,2010-2014Persons_lower95CI,2010-2014Persons_upper95CI,2011-2015Persons_dsr,2011-2015Persons_lower95CI,2011-2015Persons_upper95CI,2006-2010Males_dsr,2006-2010Males_lower95CI,2006-2010Males_upper95CI,2007-2011Males_dsr,2007-2011Males_lower95CI,2007-2011Males_upper95CI,2008-2012Males_dsr,2008-2012Males_lower95CI,2008-2012Males_upper95CI,2009-2013Males_dsr,2009-2013Males_lower95CI,2009-2013Males_upper95CI,2010-2014Males_dsr,2010-2014Males_lower95CI,2010-2014Males_upper95CI,2011-2015Males_dsr,2011-2015Males_lower95CI,2011-2015Males_upper95CI,2006-2010Females_dsr,2006-2010Females_lower95CI,2006-2010Females_upper95CI,2007-2011Females_dsr,2007-2011Females_lower95CI,2007-2011Females_upper95CI,2008-2012Females_dsr,2008-2012Females_lower95CI,2008-2012Females_upper95CI,2009-2013Females_dsr,2009-2013Females_lower95CI,2009-2013Females_upper95CI,2010-2014Females_dsr,2010-2014Females_lower95CI,2010-2014Females_upper95CI,2011-2015Females_dsr,2011-2015Females_lower95CI,2011-2015Females_upper95CI
MSOA,E02002330,40,22.2375,66.1954,39.5,21.8394,65.5451,44.7,26.1541,71.1268,41.6,23.8535,67.1529,29.5,14.7943,52.224,30.2,15.1634,53.4353,66.4,34.1912,116.1708,52.5,25.0545,96.7449,55.2,27.4576,98.9225,48.7,23.2719,89.6926,33.5,13.3601,69.2154,29,10.586,63.2257,14.2,2.7736,41.8733,27.4,8.3925,64.9382,35.1,13.3243,73.7163,35.7,13.4426,75.1706,26.6,7.651,64.0228,32.3,10.8298,72.2064
MSOA,E02002331,65.7,39.4894,102.6922,64,37.6581,101.5357,56.7,32.0964,92.5324,49.4,26.7009,83.3432,66.1,39.4283,103.743,74,45.3953,113.6883,46.4,16.9762,101.0895,64.6,27.6204,127.7476,63.9,27.2727,126.4461,68.7,31.0336,131.0437,104.4,56.6185,175.8503,112.9,62.6796,186.963,79.2,42.1287,135.4981,59.6,28.5305,109.6871,46.8,20.163,92.2862,29.6,9.5579,69.1816,28.4,9.195,66.3283,35.1,12.6503,76.8268
MSOA,E02002332,85.6,54.7291,127.5241,83.9,53.6166,125.0262,81,51.2136,121.7223,76.1,47.566,115.389,60.4,35.6999,95.5962,62.5,37.5373,97.7311,90.1,46.2581,157.8469,81.3,40.3018,145.914,84.9,42.2645,152.0944,82.2,40.8243,147.4088,77.9,38.6761,139.7176,90.6,47.9741,155.3336,81.8,42.1893,143.0085,86.9,46.1433,148.7949,78.6,40.472,137.5174,71.2,35.3755,127.66,44,17.5934,90.8286,36.9,13.4188,80.5442
MSOA,E02002333,97.9,66.5768,138.7095,99.8,68.3673,140.5851,94.2,64.524,132.7057,62.4,38.8829,94.7812,57.6,35.4623,88.3155,51.4,31.2372,79.6059,116.4,69.1426,183.0965,135.5,83.9365,206.4989,132.7,83.1963,200.3786,106.5,62.3122,169.4651,95.8,55.1063,154.394,83.4,47.117,136.2422,79.2,41.9372,135.7889,65.7,32.6706,117.755,56.7,26.9911,104.5937,21.8,5.8912,55.9208,21.5,5.7777,55.2208,20.3,5.4461,52.1583
MSOA,E02002334,78.1,52.2038,112.298,68.5,44.6514,100.4959,58.7,37.09,88.244,50.6,30.8174,78.2741,41.3,23.972,66.2502,40.3,23.3603,64.6912,109.1,66.526,168.6572,85.1,48.5203,138.3742,68.8,36.4232,117.9688,53.5,25.4767,98.6763,41.4,17.7605,81.7676,41.3,17.7188,81.5681,46.3,20.9875,88.1961,52.2,24.8581,96.2779,49.4,23.5515,91.0704,48.4,23.0586,89.2529,41,18.6308,78.0245,39.8,18.0634,75.7773
MSOA,E02002335,58,35.8018,88.7995,57.7,35.6423,88.3046,51,30.5956,79.7976,44.5,25.8218,71.3944,35.2,19.163,59.181,36.2,20.1779,59.8288,65.3,33.6414,114.2206,65.7,33.8157,114.9693,54.8,26.1385,101.0052,53.5,25.4723,98.6834,41.1,17.6028,81.2247,45,20.4725,85.5967,51.6,23.5121,98.0897,49.7,22.6636,94.4493,47.2,21.467,89.792,35.5,14.1247,73.4063,29.4,10.677,64.2001,27.9,10.1074,60.9707
MSOA,E02002336,34.5,17.7475,60.3868,34.7,17.8782,60.694,31.7,15.7585,56.8241,37.1,19.7015,63.5222,37.2,19.7293,63.7317,40.2,21.8151,67.692,41.6,16.6386,85.8657,47.6,20.4595,93.946,47,20.2325,92.7091,46.5,19.9683,91.8065,42.2,16.8014,87.2411,51.6,23.3225,98.4035,27.7,8.9365,64.7564,22.2,6.006,56.9324,16.8,3.422,49.1997,28.7,9.284,67.045,33.7,12.3323,73.4157,29.8,9.5605,69.7714
MSOA,E02002337,37.8,18.715,67.8783,41.3,21.2141,72.3378,44.2,23.4266,75.7474,45.5,24.7679,76.5018,48.3,26.8533,79.9287,52.2,29.6822,84.9947,55.4,23.6323,109.6476,55.7,23.8213,110.1371,55.4,23.7881,109.3815,65.5,31.1733,120.838,65.8,31.2344,121.5232,67.5,32.0001,124.7295,21.2,4.3174,62.0875,27.8,7.5571,71.2166,33.7,10.8995,78.729,26.3,7.081,67.5204,32,10.2265,75.0009,37.9,13.7452,82.7962
MSOA,E02002338,117,77.3894,169.5704,107.4,70.3143,156.879,80.4,49.966,122.3053,69.5,42.1444,107.768,49.3,27.4242,81.5615,47.4,26.4072,78.3594,181,110.881,278.2883,177.1,109.5842,270.064,136.6,81.2813,214.6739,115.5,66.6227,185.8775,79,40.4901,138.5076,69.4,34.5349,124.3481,57.7,23.0931,119.0707,41.5,13.4367,96.9227,24,4.9268,70.1929,22.9,4.6514,67.0957,19.8,3.9757,58.1244,25.1,6.6832,64.5999
MSOA,E02002339,84.4,51.2525,130.7703,112.5,73.109,165.3481,131.5,88.2453,188.3517,128.3,85.5559,184.747,125.8,83.986,181.0188,102.9,65.7484,153.3536,118.7,62.3,204.3515,157.8,90.8965,254.133,173.6,103.3594,272.7339,147.1,83.1747,240.2001,150.9,87.3296,242.4338,119.8,65.1096,201.5815,55.8,22.3944,115.0404,73.9,33.606,140.5927,93.7,46.5129,168.0678,110.1,58.3866,188.6344,100.2,51.6049,175.2918,84,40.1974,154.6142
