AreaType,AreaCodeName,2006-2010Persons_dsr,2006-2010Persons_lower95CI,2006-2010Persons_upper95CI,2007-2011Persons_dsr,2007-2011Persons_lower95CI,2007-2011Persons_upper95CI,2008-2012Persons_dsr,2008-2012Persons_lower95CI,2008-2012Persons_upper95CI,2009-2013Persons_dsr,2009-2013Persons_lower95CI,2009-2013Persons_upper95CI,2010-2014Persons_dsr,2010-2014Persons_lower95CI,2010-2014Persons_upper95CI,2011-2015Persons_dsr,2011-2015Persons_lower95CI,2011-2015Persons_upper95CI,2006-2010Males_dsr,2006-2010Males_lower95CI,2006-2010Males_upper95CI,2007-2011Males_dsr,2007-2011Males_lower95CI,2007-2011Males_upper95CI,2008-2012Males_dsr,2008-2012Males_lower95CI,2008-2012Males_upper95CI,2009-2013Males_dsr,2009-2013Males_lower95CI,2009-2013Males_upper95CI,2010-2014Males_dsr,2010-2014Males_lower95CI,2010-2014Males_upper95CI,2011-2015Males_dsr,2011-2015Males_lower95CI,2011-2015Males_upper95CI,2006-2010Females_dsr,2006-2010Females_lower95CI,2006-2010Females_upper95CI,2007-2011Females_dsr,2007-2011Females_lower95CI,2007-2011Females_upper95CI,2008-2012Females_dsr,2008-2012Females_lower95CI,2008-2012Females_upper95CI,2009-2013Females_dsr,2009-2013Females_lower95CI,2009-2013Females_upper95CI,2010-2014Females_dsr,2010-2014Females_lower95CI,2010-2014Females_upper95CI,2011-2015Females_dsr,2011-2015Females_lower95CI,2011-2015Females_upper95CI
MSOA,E02002330,13.5,4.3218,31.6261,16.5,6.023,35.9734,22.1,9.4999,43.6163,16.6,6.0355,36.2361,19.2,7.6772,39.6342,13.1,4.2487,30.5805,11.5,1.3051,41.8024,17,3.4456,49.827,27.9,9.0291,65.1685,27.8,8.9843,64.9594,27.5,8.9292,64.1759,21.2,5.7061,54.431,15.4,3.1049,45.1772,16,3.2536,46.8701,16.4,3.3478,48.0107,5.5,0.0652,30.9915,11,1.3005,39.8297,5.1,0.0667,28.708
MSOA,E02002331,48.8,26.5991,81.9982,42.4,21.7892,74.2489,39.6,19.6484,71.0441,39.3,19.433,70.6108,30.5,13.7086,58.2923,17,5.3039,40.0989,43.9,16.0808,95.607,35.5,11.5036,82.8909,27.7,7.5055,71.0127,33.6,10.8745,78.481,25.9,7.0126,66.4092,12.6,1.5089,45.5662,55.1,23.5576,108.9629,51.1,20.3556,105.6212,52.5,20.9358,108.475,46.4,16.8463,101.3309,35.6,11.1856,83.8164,21.4,4.1623,63.1474
MSOA,E02002332,37.6,17.8388,69.457,28.4,12.1854,56.0886,24.2,9.6001,50.0909,20.8,7.5429,45.4408,9.7,1.91,28.5664,3,0.048,16.846,55.7,22.0203,115.4264,42.7,15.4777,93.2976,34.6,11.0266,81.1554,28.5,7.6355,73.2498,13.9,1.5419,50.6321,6.3,0.1207,35.2834,20.9,4.2012,61.3423,14.9,1.7657,53.939,14.8,1.6904,53.7657,14.5,1.6931,52.5661,6.2,0.1394,34.6268,0,0,0
MSOA,E02002333,9.2,1.8337,27.0403,9.8,1.9444,28.8252,6.2,0.6588,22.67,11,2.8536,28.4723,13.6,4.3047,31.9575,18.5,7.3329,38.3035,11.8,1.2242,43.2345,13.9,1.6206,50.3981,13.3,1.513,48.3346,22.9,5.9527,59.2482,21.5,5.6143,55.5713,26.7,8.3018,63.0348,6.6,0.1165,37.0103,6.3,0.0872,35.4403,0,0,0,0,0,0,5.7,0.0627,32.141,10.5,1.1893,38.1744
MSOA,E02002334,20.8,7.9756,43.5423,17.6,6.053,39.0622,22.3,9.1821,44.7005,17.2,5.8948,38.2128,17.3,5.9189,38.4538,13.9,5.0359,30.3756,37.4,13.0057,82.7413,30.8,9.1642,73.5289,30.6,9.0301,73.1988,20.2,3.3753,60.9474,20.3,3.3445,61.364,0,0,0,4.2,0.0989,23.4359,4,0.0355,22.5951,13.5,2.6672,39.7357,13.6,2.7462,39.8866,14.4,2.9213,42.1998,26.2,9.498,57.2437
MSOA,E02002335,10.6,2.7788,27.3748,10.5,2.7324,27.1597,15.8,5.7004,34.572,15.6,5.6173,34.1546,9.8,2.619,25.2016,4.6,0.4717,16.8705,10.9,1.2101,39.7013,11.3,1.3021,41.0168,11.5,1.3305,41.7267,11.5,1.3505,41.6674,5.7,0.1388,31.784,0,0,0,10.3,1.1366,37.5363,9.9,1.0745,36.1321,20.1,5.35,51.7354,19.6,5.1854,50.516,13.8,2.7219,40.6298,9.2,1.0195,33.5149
MSOA,E02002336,5.6,0.6597,20.2839,5.6,0.6343,20.3594,5.8,0.6952,20.9729,5.8,0.6715,21.0433,2.6,0.0197,14.7029,2.5,0.0248,14.1096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.9,1.2994,39.4359,10.8,1.2752,39.1107,11,1.2737,39.9094,11.3,1.3089,40.9966,5.3,0.1143,29.6229,5,0.0703,28.122
MSOA,E02002337,14.7,3.9464,37.7641,7.1,0.7851,25.8697,6.9,0.7471,25.1884,6.7,0.7414,24.4108,10.1,1.9685,29.7934,17.1,5.4356,40.1363,15.1,1.7438,54.7985,7.1,0.1036,39.9157,6.8,0.136,38.0566,6.3,0.1315,35.2328,13.4,1.4458,48.9315,20.8,4.1055,61.232,14.3,1.7078,51.7277,7.1,0.163,39.6375,7.1,0.0995,39.9352,7.1,0.1449,39.722,7,0.1691,39.0394,13.7,1.6574,49.4944
MSOA,E02002338,32.3,13.7848,63.9172,39.1,18.5694,72.1973,37.8,17.9808,69.7506,37,17.6309,68.2249,39.3,19.4749,70.5447,38.8,19.2096,69.6749,41.9,13.2801,98.4219,46.8,16.8136,102.5353,52.7,20.844,109.1924,59.8,25.4084,118.5282,50.9,20.1799,105.3781,52.5,20.883,108.5685,23.5,4.5959,69.2834,31.6,8.5086,81.1259,22.9,4.6706,67.0493,14.9,1.7379,54.0216,28.2,7.6224,72.3344,26.6,7.0762,68.4742
MSOA,E02002339,17.9,4.7484,46.1073,30.4,12.0582,62.9268,45,21.3348,83.1507,52.8,27.0282,92.624,52.8,27.0538,92.5844,55.6,29.4079,95.3765,18.9,1.9959,69.1441,22.5,4.6075,65.8334,43.2,13.4507,101.9524,50.2,17.827,110.3712,61.3,23.9603,127.517,53,18.9224,116.3395,16.9,2.0187,61.1318,35.6,9.6097,91.3434,44.9,14.4791,104.9788,52.9,19.3504,115.2581,43.4,14.0372,101.3891,57.4,22.9684,118.4599
