code,name,label,x,y
E02002330,Leeds 001,E08000035E02002330,439488.145,448310.1936
E02002331,Leeds 002,E08000035E02002331,442950.0208,447609.9168
E02002332,Leeds 003,E08000035E02002332,419523.1437,446147.1328
E02002333,Leeds 004,E08000035E02002333,420608.8056,444996.8026
E02002334,Leeds 005,E08000035E02002334,442329.5814,443151.8899
E02002335,Leeds 006,E08000035E02002335,434872.8151,444085.4112
E02002336,Leeds 007,E08000035E02002336,424770.2118,443383.1492
E02002337,Leeds 008,E08000035E02002337,416976.3516,442731.0512
E02002338,Leeds 009,E08000035E02002338,419137.829,441636.0517
E02002339,Leeds 010,E08000035E02002339,420252.2441,441269.0105
E02002340,Leeds 011,E08000035E02002340,421223.584,441442.5121
E02002341,Leeds 012,E08000035E02002341,429330.3438,441621.412
E02002342,Leeds 013,E08000035E02002342,424947.4889,440835.4613
E02002343,Leeds 014,E08000035E02002343,421318.8769,440026.3388
E02002344,Leeds 015,E08000035E02002344,431326.009,439893.5352
E02002345,Leeds 016,E08000035E02002345,427098.7291,440209.0795
E02002346,Leeds 017,E08000035E02002346,425175.7839,439429.6319
E02002347,Leeds 018,E08000035E02002347,429603.8664,439328.2213
E02002348,Leeds 019,E08000035E02002348,426117.0121,438963.3101
E02002349,Leeds 020,E08000035E02002349,433153.7553,438644.3141
E02002350,Leeds 021,E08000035E02002350,423431.0152,439072.853
E02002351,Leeds 022,E08000035E02002351,436876.6748,438863.6043
E02002352,Leeds 023,E08000035E02002352,430929.1956,438522.2143
E02002353,Leeds 024,E08000035E02002353,431809.9631,438375.0176
E02002354,Leeds 025,E08000035E02002354,429792.8247,438180.2938
E02002356,Leeds 027,E08000035E02002356,421818.4848,438197.3255
E02002357,Leeds 028,E08000035E02002357,424510.5282,437815.3298
E02002358,Leeds 029,E08000035E02002358,435662.96,437845.8992
E02002359,Leeds 030,E08000035E02002359,441551.5081,437384.676
E02002360,Leeds 031,E08000035E02002360,428714.2957,437651.6313
E02002361,Leeds 032,E08000035E02002361,432011.8514,437111.9783
E02002362,Leeds 033,E08000035E02002362,425567.2084,437266.3526
E02002363,Leeds 034,E08000035E02002363,430706.856,437024.8297
E02002364,Leeds 035,E08000035E02002364,435226.2658,436844.5496
E02002366,Leeds 037,E08000035E02002366,433360.8808,436833.3638
E02002367,Leeds 038,E08000035E02002367,429681.0763,436280.6081
E02002368,Leeds 039,E08000035E02002368,420802.5393,436519.5529
E02002369,Leeds 040,E08000035E02002369,434323.4212,436185.6074
E02002370,Leeds 041,E08000035E02002370,436826.0476,436293.2253
E02002371,Leeds 042,E08000035E02002371,430979.7772,435954.7283
E02002373,Leeds 044,E08000035E02002373,427631.9468,435895.0873
E02002374,Leeds 045,E08000035E02002374,426562.8476,435764.1976
E02002375,Leeds 046,E08000035E02002375,424720.254,436101.3172
E02002376,Leeds 047,E08000035E02002376,433059.3874,435589.1452
E02002377,Leeds 048,E08000035E02002377,431746.2423,435571.6433
E02002379,Leeds 050,E08000035E02002379,435339.4543,435477.3791
E02002380,Leeds 051,E08000035E02002380,423761.6751,435564.8987
E02002381,Leeds 052,E08000035E02002381,422777.7425,435723.2138
E02002382,Leeds 053,E08000035E02002382,432223.0303,435128.6094
E02002383,Leeds 054,E08000035E02002383,428312.8208,435029.9582
E02002384,Leeds 055,E08000035E02002384,430053.4803,434869.5375
E02002385,Leeds 056,E08000035E02002385,427596.7657,434733.2022
E02002386,Leeds 057,E08000035E02002386,438027.2521,434724.6407
E02002387,Leeds 058,E08000035E02002387,424135.9696,434798.1665
E02002388,Leeds 059,E08000035E02002388,425762.4643,434785.5533
E02002389,Leeds 060,E08000035E02002389,433625.8361,434792.5341
E02002390,Leeds 061,E08000035E02002390,435095.5568,434572.8423
E02002391,Leeds 062,E08000035E02002391,421943.1517,434423.9664
E02002392,Leeds 063,E08000035E02002392,428992.7188,434355.7174
E02002393,Leeds 064,E08000035E02002393,431426.6805,434364.116
E02002394,Leeds 065,E08000035E02002394,432366.0245,434205.2534
E02002395,Leeds 066,E08000035E02002395,420324.8184,434278.2707
E02002396,Leeds 067,E08000035E02002396,425713.4231,433925.6083
E02002397,Leeds 068,E08000035E02002397,423412.2531,433699.8258
E02002398,Leeds 069,E08000035E02002398,435634.7752,431963.626
E02002399,Leeds 070,E08000035E02002399,432869.2298,432472.9221
E02002400,Leeds 071,E08000035E02002400,427799.1892,433549.6852
E02002401,Leeds 072,E08000035E02002401,434129.3116,431943.7416
E02002402,Leeds 073,E08000035E02002402,437159.3579,433039.5734
E02002403,Leeds 074,E08000035E02002403,440407.5079,433352.0258
E02002404,Leeds 075,E08000035E02002404,431790.3569,432994.2063
E02002405,Leeds 076,E08000035E02002405,420896.7976,432631.2324
E02002406,Leeds 077,E08000035E02002406,441618.6182,432537.9036
E02002407,Leeds 078,E08000035E02002407,425794.9474,432789.8848
E02002408,Leeds 079,E08000035E02002408,422965.0257,432527.2863
E02002409,Leeds 080,E08000035E02002409,424399.5863,431851.0631
E02002410,Leeds 081,E08000035E02002410,427270.2473,432467.2635
E02002411,Leeds 082,E08000035E02002411,428993.1118,432164.6957
E02002412,Leeds 083,E08000035E02002412,426044.671,431168.1923
E02002414,Leeds 085,E08000035E02002414,429980.1154,431762.5957
E02002415,Leeds 086,E08000035E02002415,429783.2913,430843.6701
E02002416,Leeds 087,E08000035E02002416,438855.6946,430417.7989
E02002417,Leeds 088,E08000035E02002417,443807.9847,429958.0682
E02002418,Leeds 089,E08000035E02002418,441131.8792,430426.7099
E02002419,Leeds 090,E08000035E02002419,428025.253,430701.9995
E02002420,Leeds 091,E08000035E02002420,429434.5777,430131.7181
E02002421,Leeds 092,E08000035E02002421,431068.2721,430069.717
E02002422,Leeds 093,E08000035E02002422,427327.4179,429205.1738
E02002423,Leeds 094,E08000035E02002423,431642.8641,429365.1253
E02002424,Leeds 095,E08000035E02002424,425408.917,429139.6247
E02002425,Leeds 096,E08000035E02002425,423038.0109,428888.511
E02002426,Leeds 097,E08000035E02002426,436416.0352,428519.5067
E02002427,Leeds 098,E08000035E02002427,434484.7825,428437.8925
E02002428,Leeds 099,E08000035E02002428,430646.6155,428589.8295
E02002429,Leeds 100,E08000035E02002429,435257.9954,427712.2044
E02002430,Leeds 101,E08000035E02002430,429401.457,428083.5183
E02002431,Leeds 102,E08000035E02002431,427660.3983,427581.6692
E02002432,Leeds 103,E08000035E02002432,440281.8282,427006.005
E02002433,Leeds 104,E08000035E02002433,426497.8638,427296.9073
E02002434,Leeds 105,E08000035E02002434,431916.795,426591.8855
E02002435,Leeds 106,E08000035E02002435,425847.4117,426236.8997
E02002436,Leeds 107,E08000035E02002436,429871.5955,425820.0099
E02002437,Leeds 108,E08000035E02002437,428747.3044,424446.7257
