MSOA11CD,MSOA11NM,BNGEAST,BNGNORTH,LONGITUDE,LATITUDE
E02002330,Leeds 001,439839,449020,-1.394659112,53.93577662
E02002331,Leeds 002,441031,448339,-1.376602339,53.9295635
E02002332,Leeds 003,419784,446434,-1.700305383,53.91368483
E02002333,Leeds 004,420187,445251,-1.694244974,53.90303245
E02002334,Leeds 005,442696,444816,-1.351740453,53.89776835
E02002335,Leeds 006,436761,444310,-1.442116992,53.89366603
E02002336,Leeds 007,425132,443437,-1.619124515,53.88651826
E02002337,Leeds 008,418302,442329,-1.723099404,53.87684038
E02002338,Leeds 009,419125,441695,-1.710628503,53.87111153
E02002339,Leeds 010,420315,441175,-1.692564216,53.86639506
E02002340,Leeds 011,421123,441164,-1.680282933,53.86626404
E02002341,Leeds 012,429434,440354,-1.553983141,53.85857782
E02002342,Leeds 013,425098,440303,-1.619898119,53.85835069
E02002343,Leeds 014,420841,440017,-1.684638666,53.85596584
E02002344,Leeds 015,431341,439822,-1.525042777,53.8536858
E02002345,Leeds 016,427279,439612,-1.586812085,53.85203285
E02002346,Leeds 017,425059,439409,-1.620565492,53.85031583
E02002347,Leeds 018,429646,439285,-1.550857876,53.84896069
E02002348,Leeds 019,426020,439002,-1.605999168,53.84661253
E02002349,Leeds 020,432496,438872,-1.507582373,53.84508254
E02002350,Leeds 021,423652,438737,-1.642011728,53.84434094
E02002351,Leeds 022,436652,438381,-1.444469195,53.84039076
E02002352,Leeds 023,430931,438434,-1.53141057,53.8412385
E02002353,Leeds 024,431838,438410,-1.517622192,53.84097234
E02002354,Leeds 025,429921,438139,-1.546782923,53.83864324
E02002356,Leeds 027,423269,437567,-1.647915459,53.83384145
E02002357,Leeds 028,424531,437951,-1.628702504,53.83723371
E02002358,Leeds 029,435763,437743,-1.458052063,53.83471958
E02002359,Leeds 030,440208,437283,-1.390581699,53.8302584
E02002360,Leeds 031,428794,437446,-1.563972145,53.8324827
E02002361,Leeds 032,431906,437065,-1.516733686,53.82887409
E02002362,Leeds 033,425642,437039,-1.611909714,53.82898953
E02002363,Leeds 034,430663,437012,-1.535616777,53.82847286
E02002364,Leeds 035,435186,436721,-1.466942132,53.82557425
E02002366,Leeds 037,432948,436418,-1.500976913,53.82299664
E02002367,Leeds 038,429667,436555,-1.550806468,53.82442015
E02002368,Leeds 039,421040,436404,-1.681860845,53.8234848
E02002369,Leeds 040,434174,436210,-1.482375111,53.82104358
E02002370,Leeds 041,436605,436140,-1.44545811,53.82025669
E02002371,Leeds 042,430994,435799,-1.530712292,53.81755618
E02002373,Leeds 044,427580,435937,-1.58256153,53.81898353
E02002374,Leeds 045,426728,435685,-1.595514434,53.8167599
E02002375,Leeds 046,425083,435680,-1.62050736,53.8167998
E02002376,Leeds 047,432895,435575,-1.501873949,53.81542504
E02002377,Leeds 048,431746,435609,-1.519317491,53.81579603
E02002379,Leeds 050,435255,435372,-1.46604205,53.81344104
E02002380,Leeds 051,423810,435462,-1.639853367,53.81490095
E02002381,Leeds 052,422764,435425,-1.655742578,53.81461061
E02002382,Leeds 053,432240,435146,-1.511861352,53.81161098
E02002383,Leeds 054,428318,435077,-1.57142871,53.81121668
E02002384,Leeds 055,429963,434898,-1.546462757,53.80951653
E02002385,Leeds 056,427639,434946,-1.581745095,53.81007221
E02002386,Leeds 057,436727,434843,-1.443761227,53.8085871
E02002387,Leeds 058,424204,434804,-1.633932608,53.80897199
E02002388,Leeds 059,425402,434816,-1.615725209,53.80902002
E02002389,Leeds 060,433527,434733,-1.492358263,53.80781569
E02002390,Leeds 061,435410,434701,-1.463772753,53.80740532
E02002391,Leeds 062,421709,434602,-1.671825558,53.80725843
E02002392,Leeds 063,428921,434212,-1.562357823,53.8034058
E02002393,Leeds 064,431433,434305,-1.524204665,53.80409845
E02002394,Leeds 065,432460,434374,-1.508602213,53.80465814
E02002395,Leeds 066,420440,434141,-1.691124783,53.80316921
E02002396,Leeds 067,425843,433814,-1.609116328,53.7999885
E02002397,Leeds 068,423302,433775,-1.647695259,53.79976354
E02002398,Leeds 069,435540,433604,-1.461919472,53.79753911
E02002399,Leeds 070,432894,433531,-1.502101065,53.79704832
E02002400,Leeds 071,427520,433416,-1.583687405,53.79632768
E02002401,Leeds 072,434211,433226,-1.482141462,53.79422702
E02002402,Leeds 073,436808,433343,-1.442704425,53.79509804
E02002403,Leeds 074,440430,433122,-1.387758741,53.79284315
E02002404,Leeds 075,431606,433080,-1.52170627,53.79307775
E02002405,Leeds 076,421316,432975,-1.677904121,53.7926539
E02002406,Leeds 077,441488,432825,-1.371741021,53.79009188
E02002407,Leeds 078,425806,432864,-1.609764681,53.79145955
E02002408,Leeds 079,422597,432782,-1.65848189,53.79086786
E02002409,Leeds 080,424854,433087,-1.624191892,53.79350553
E02002410,Leeds 081,427140,432559,-1.589542772,53.78864607
E02002411,Leeds 082,429054,431914,-1.560553618,53.78274552
E02002412,Leeds 083,426357,431754,-1.601491513,53.78145464
E02002414,Leeds 085,429827,431562,-1.548851919,53.77953645
E02002415,Leeds 086,429727,430962,-1.550418819,53.7741568
E02002416,Leeds 087,438605,430450,-1.415792207,53.7689682
E02002417,Leeds 088,442247,430407,-1.360537809,53.76830302
E02002418,Leeds 089,441261,430556,-1.375488856,53.76972195
E02002419,Leeds 090,428266,430425,-1.572639151,53.76940587
E02002420,Leeds 091,429152,430320,-1.55921333,53.76841393
E02002421,Leeds 092,431062,430106,-1.530255656,53.76637754
E02002422,Leeds 093,426916,429315,-1.593221055,53.75949756
E02002423,Leeds 094,431446,429069,-1.524531805,53.757034
E02002424,Leeds 095,425774,428721,-1.610592061,53.75422183
E02002425,Leeds 096,422910,428672,-1.654035267,53.75391308
E02002426,Leeds 097,436229,428785,-1.452024816,53.75417205
E02002427,Leeds 098,434416,428543,-1.479556466,53.75211963
E02002428,Leeds 099,430873,428296,-1.533308929,53.75012918
E02002429,Leeds 100,433553,428429,-1.492655194,53.7511517
E02002430,Leeds 101,429746,427703,-1.550452896,53.74486325
E02002431,Leeds 102,427240,427724,-1.58845184,53.74518118
E02002432,Leeds 103,440033,427347,-1.394518803,53.74097353
E02002433,Leeds 104,426406,427302,-1.601131443,53.7414381
E02002434,Leeds 105,431759,426653,-1.520043506,53.73530654
E02002435,Leeds 106,426349,426710,-1.602037644,53.73611635
E02002436,Leeds 107,429956,425575,-1.547471931,53.72572045
E02002437,Leeds 108,428296,425430,-1.572649756,53.72451145
