EST_ID,EST_NAME,ADDRESS,Postcode,Latitude,Longitude,TEL,STATUS,REASON,EST_TYPE,EFF_DATE_FROM,EFF_DATE_TO
20,Abbey Park Academy,"Keighley Close, Illingworth, Halifax, HX2 9DG", HX2 9DG,53.755867,-1.8950555,01422 246610,Closed,strike,SCH,30-Jun-11,
20,Abbey Park Academy,"Keighley Close, Illingworth, Halifax, HX2 9DG", HX2 9DG,53.755867,-1.8950555,01422 246610,Closed,Industriaql Action,SCH,30-Nov-11,
20,Abbey Park Academy,"Keighley Close, Illingworth, Halifax, HX2 9DG", HX2 9DG,53.755867,-1.8950555,01422 246610,Closed,Snow,SCH,21-Jan-13,21-Jan-13
1,Akroydon Primary Academy,"Rawson Street North, Boothtown Road, Halifax, HX3 6PU", HX3 6PU,53.73497,-1.8674422,01422 351291,Partly closed,Snow,SCH,01-Dec-10,
1,Akroydon Primary Academy,"Rawson Street North, Boothtown Road, Halifax, HX3 6PU", HX3 6PU,53.73497,-1.8674422,01422 351291,Partly closed,Snow,SCH,02-Dec-10,
1,Akroydon Primary Academy,"Rawson Street North, Boothtown Road, Halifax, HX3 6PU", HX3 6PU,53.73497,-1.8674422,01422 351291,Closed,industrial action,SCH,30-Jun-11,30-Jun-11
1,Akroydon Primary Academy,"Rawson Street North, Boothtown Road, Halifax, HX3 6PU", HX3 6PU,53.73497,-1.8674422,01422 351291,Closed,Industrial Action,SCH,30-Nov-11,30-Nov-11
1,Akroydon Primary Academy,"Rawson Street North, Boothtown Road, Halifax, HX3 6PU", HX3 6PU,53.73497,-1.8674422,01422 351291,Closed,Industrial Strike Action,SCH,01-Oct-13,01-Oct-13
1,Akroydon Primary Academy,"Rawson Street North, Boothtown Road, Halifax, HX3 6PU", HX3 6PU,53.73497,-1.8674422,01422 351291,Closed,Industrial Action,SCH,10-Jul-14,10-Jul-14
1,Akroydon Primary Academy,"Rawson Street North, Boothtown Road, Halifax, HX3 6PU", HX3 6PU,53.73497,-1.8674422,01422 351291,Closed,Snow,SCH,28-Feb-18,28-Feb-18
1,Akroydon Primary Academy,"Rawson Street North, Boothtown Road, Halifax, HX3 6PU", HX3 6PU,53.73497,-1.8674422,01422 351291,Closed,Snow,SCH,01-Mar-18,01-Mar-18
1,Akroydon Primary Academy,"Rawson Street North, Boothtown Road, Halifax, HX3 6PU", HX3 6PU,53.73497,-1.8674422,01422 351291,Closed,Snow,SCH,02-Mar-18,02-Mar-18
