"","X","lng","lat","order","piece","id","group","Quantity","Year","From","To"
"67",67,13.333333,47.333333,1,1,4,4.1,992,2013,"Austria","Italy"
"68",68,13.3076478331734,47.1190991318753,2,1,4,4.1,992,2013,"Austria","Italy"
"69",69,13.2821686794352,46.9048595683333,3,1,4,4.1,992,2013,"Austria","Italy"
"70",70,13.2568923714838,46.690614397085,4,1,4,4.1,992,2013,"Austria","Italy"
"71",71,13.2318158032624,46.4763637041412,5,1,4,4.1,992,2013,"Austria","Italy"
"72",72,13.2069359284611,46.2621075738546,6,1,4,4.1,992,2013,"Austria","Italy"
"73",73,13.1822497590622,46.0478460889601,7,1,4,4.1,992,2013,"Austria","Italy"
"74",74,13.157754363928,45.8335793306139,8,1,4,4.1,992,2013,"Austria","Italy"
"75",75,13.1334468674284,45.6193073784322,9,1,4,4.1,992,2013,"Austria","Italy"
"76",76,13.1093244481085,45.4050303105279,10,1,4,4.1,992,2013,"Austria","Italy"
"77",77,13.0853843373934,45.1907482035466,11,1,4,4.1,992,2013,"Austria","Italy"
"78",78,13.0616238183302,44.9764611327017,12,1,4,4.1,992,2013,"Austria","Italy"
"79",79,13.0380402243652,44.7621691718085,13,1,4,4.1,992,2013,"Austria","Italy"
"80",80,13.0146309381556,44.5478723933171,14,1,4,4.1,992,2013,"Austria","Italy"
"81",81,12.9913933904142,44.3335708683445,15,1,4,4.1,992,2013,"Austria","Italy"
"82",82,12.968325058786,44.119264666706,16,1,4,4.1,992,2013,"Austria","Italy"
"83",83,12.9454234667565,43.9049538569455,17,1,4,4.1,992,2013,"Austria","Italy"
"84",84,12.9226861825895,43.6906385063649,18,1,4,4.1,992,2013,"Austria","Italy"
"85",85,12.900110818294,43.4763186810529,19,1,4,4.1,992,2013,"Austria","Italy"
"86",86,12.8776950286199,43.2619944459132,20,1,4,4.1,992,2013,"Austria","Italy"
"87",87,12.8554365100802,43.0476658646909,21,1,4,4.1,992,2013,"Austria","Italy"
"88",88,12.833333,42.833333,22,1,4,4.1,992,2013,"Austria","Italy"
"155",155,4,50.833333,1,1,8,8.1,982,2013,"Belgium","Bulgaria"
