Country,lat,lng,Export,Import
Albania,41,20,0,86479
Austria,47.333333,13.333333,30180,696456
Belarus,53,28,49082,2227
Belgium,50.833333,4,905761,1863646
Bosnia and Herzegovina,44.25,17.833333,274,38580
Bulgaria,43,25,0,21412
Croatia,45.166667,15.5,20699,361524
Czech Republic,49.75,15,236154,483244
Denmark,56,10,10382289,48966
Estonia,59,26,156473,4094
Finland,64,26,10560,2744
France,46,2,666968,137975
Germany,51.5,10.5,3216293,14140807
Greece,39,22,52989,4869
Hungary,47,20,896217,1529596
Ireland,53,-8,468232,494
Italy,42.833333,12.833333,15438,894966
Latvia,57,25,166554,77295
Lithuania,56,24,373023,250685
Luxembourg,49.75,6.166667,104330,117751
Macedonia,41.833333,22,231,84
Moldova,47,29,0,43955
Montenegro,42.5,19.3,0,12846
Netherlands,52.5,5.75,10932723,1073310
Norway,62,10,326,30
Poland,52,20,107503,4948619
Portugal,39.5,-8,195940,1239022
Romania,46,25,5137,899234
Russia,60,100,0,74864
Serbia,44,21,10014,67498
Slovakia,48.666667,19.5,638706,378525
Slovenia,46.25,15.166667,20931,30708
Spain,40,-4,1417810,846434
Sweden,62,15,3707,1368
Switzerland,47,8,44,1097
Ukraine,49,32,0,232146
United Kingdom,54,-4,1980,473018
